record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,N,P,K,ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall,avg_temp_c,temperature,humidity,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target,ndvi_seq_mean,ndvi_seq_std,ndvi_seq_slope
1874,GJ017,29.14,89.25,FLD01874,11752,Groundnut,Oilseed,Kharif,Mountain,297.0,50.0,225.0,6.6,0.83,0.0,35,12.0,2606,2087,907,1318,1944.0,17.1,17.1,64.0,5.8,1.0,0.61,0.67,0.016,0.56,0.55,0.56,0.65,0.67,0.64,0.48,0.47,0.26,0.3,163,13.0,2.0,Groundnut,2210.0,0.0,Kharif,0.6050000000000001,0.049244289008980514,0.02428571428571428
1875,GJ002,11.93,86.0,FLD01875,15425,Groundnut,Oilseed,Rabi,Semi-Arid,267.0,48.0,231.0,6.8,0.53,5.0,27,11.6,826,290,129,203,268.0,24.9,24.9,61.0,4.2,1.0,0.6,0.66,0.03,0.51,0.53,0.56,0.66,0.66,0.66,0.43,0.45,0.29,0.33,316,0.0,0.0,Groundnut,2686.0,0.0,Rabi,0.5966666666666668,0.06497862896539311,0.035428571428571407
1876,UP027,16.15,82.36,FLD01876,14910,Groundnut,Oilseed,Kharif,Humid,202.0,30.0,175.0,7.5,0.51,5.0,38,7.2,1934,1654,549,1221,1533.0,28.1,28.1,79.0,6.1,1.0,0.6,0.66,0.014,0.57,0.52,0.57,0.64,0.66,0.64,0.47,0.43,0.28,0.3,141,11.0,2.0,Groundnut,2645.0,0.0,Kharif,0.6,0.05000000000000002,0.023999999999999987
1877,PB036,15.81,80.3,FLD01877,5325,Groundnut,Oilseed,Kharif,Arid,181.0,38.0,231.0,7.6,0.98,0.0,38,20.2,432,365,138,291,338.0,34.7,34.7,49.0,6.0,1.0,0.6,0.67,0.024,0.54,0.52,0.56,0.63,0.67,0.66,0.47,0.44,0.29,0.35,145,2.0,0.0,Groundnut,916.0,0.0,Kharif,0.5966666666666667,0.0590668171555645,0.03199999999999999
1878,TN042,16.84,84.69,FLD01878,19857,Groundnut,Oilseed,Kharif,Sub-Humid,195.0,31.0,211.0,6.1,0.54,3.0,31,12.0,1077,945,307,622,823.0,29.2,29.2,74.0,5.3,1.0,0.59,0.66,0.028,0.52,0.55,0.55,0.61,0.65,0.66,0.43,0.45,0.31,0.28,147,9.0,0.0,Groundnut,3429.0,0.0,Kharif,0.59,0.053229064742237694,0.030285714285714267
1879,HR049,13.54,81.09,FLD01879,11463,Groundnut,Oilseed,Rabi,Coastal,265.0,42.0,175.0,7.3,0.8,4.0,23,8.0,869,320,127,240,278.0,25.0,25.0,72.0,3.9,1.0,0.6,0.69,0.03,0.54,0.52,0.56,0.65,0.64,0.69,0.45,0.45,0.26,0.37,324,1.0,1.0,Groundnut,1953.0,0.0,Rabi,0.6,0.06298147875897059,0.03428571428571425
1880,MP033,14.38,80.7,FLD01880,5042,Groundnut,Oilseed,Kharif,Semi-Arid,227.0,44.0,227.0,7.3,0.88,0.0,36,13.6,572,541,192,358,496.0,30.8,30.8,56.0,6.0,1.0,0.6,0.69,0.03,0.54,0.55,0.58,0.63,0.63,0.69,0.46,0.45,0.32,0.3,147,3.0,0.0,Groundnut,830.0,0.0,Kharif,0.6033333333333333,0.05217491947499507,0.029714285714285672
1881,GJ027,15.56,89.06,FLD01881,13074,Groundnut,Oilseed,Kharif,Sub-Humid,208.0,39.0,224.0,6.2,0.69,1.0,22,8.1,1194,914,307,578,822.0,27.2,27.2,74.0,5.0,1.0,0.6,0.66,0.024,0.54,0.54,0.6,0.6,0.63,0.66,0.44,0.45,0.28,0.34,147,15.0,0.0,Groundnut,2040.0,0.0,Kharif,0.5950000000000001,0.0438748219369606,0.02485714285714285
1882,KA019,24.61,84.92,FLD01882,9498,Groundnut,Oilseed,Rabi,Semi-Arid,264.0,31.0,179.0,7.1,0.75,5.0,27,14.7,537,194,101,174,173.0,24.9,24.9,63.0,3.9,1.0,0.62,0.69,0.024,0.57,0.56,0.6,0.62,0.68,0.69,0.48,0.48,0.3,0.32,316,14.0,0.0,Groundnut,2003.0,0.0,Rabi,0.62,0.049999999999999996,0.02799999999999995
1883,PB029,14.18,70.29,FLD01883,19755,Groundnut,Oilseed,Rabi,Plateau,306.0,37.0,225.0,7.5,0.63,5.0,30,8.1,1180,437,185,355,405.0,22.4,22.4,67.0,4.4,1.0,0.59,0.65,0.024,0.52,0.53,0.58,0.63,0.65,0.64,0.43,0.45,0.29,0.32,329,13.0,1.0,Groundnut,3541.0,0.0,Rabi,0.5916666666666667,0.052094998693625945,0.02885714285714288
1884,AP048,26.84,81.81,FLD01884,16925,Groundnut,Oilseed,Rabi,Plateau,310.0,46.0,235.0,6.3,0.92,5.0,33,13.8,1198,246,121,194,225.0,24.6,24.6,65.0,3.6,1.0,0.59,0.63,0.014,0.56,0.54,0.59,0.62,0.62,0.63,0.48,0.45,0.3,0.32,323,9.0,0.0,Groundnut,3044.0,0.0,Rabi,0.5933333333333334,0.033499585403736286,0.0177142857142857
1885,HR020,15.83,86.53,FLD01885,13610,Groundnut,Oilseed,Rabi,Humid,230.0,49.0,197.0,7.4,0.75,4.0,31,6.1,3038,857,343,769,770.0,21.9,21.9,81.0,4.5,1.0,0.61,0.69,0.032,0.53,0.56,0.6,0.62,0.66,0.69,0.44,0.48,0.34,0.29,327,3.0,1.0,Groundnut,2589.0,0.0,Rabi,0.61,0.054772255750516585,0.031999999999999966
1886,HR007,13.19,72.23,FLD01886,9293,Groundnut,Oilseed,Kharif,Coastal,253.0,45.0,170.0,6.9,0.62,5.0,25,6.6,1837,1588,499,1178,1432.0,29.0,29.0,82.0,6.0,1.0,0.61,0.67,0.022,0.56,0.52,0.6,0.65,0.65,0.67,0.46,0.43,0.3,0.32,152,13.0,1.0,Groundnut,1725.0,0.0,Kharif,0.6083333333333333,0.05398044913567216,0.028285714285714247
1887,KA027,25.3,83.02,FLD01887,8178,Groundnut,Oilseed,Kharif,Mountain,225.0,36.0,224.0,6.2,0.94,6.0,30,14.3,2918,2505,907,1927,2244.0,19.4,19.4,72.0,5.5,1.0,0.6,0.67,0.026,0.54,0.56,0.56,0.61,0.63,0.67,0.47,0.47,0.32,0.26,153,14.0,1.0,Groundnut,1372.0,0.0,Kharif,0.595,0.045734742446707465,0.026
1888,PB044,20.59,82.29,FLD01888,6659,Groundnut,Oilseed,Rabi,Coastal,269.0,30.0,222.0,6.8,0.83,1.0,33,11.7,2417,884,463,736,794.0,24.3,24.3,73.0,4.0,1.0,0.6,0.67,0.026,0.53,0.54,0.6,0.61,0.67,0.66,0.44,0.47,0.29,0.35,334,16.0,0.0,Groundnut,1107.0,0.0,Rabi,0.6016666666666667,0.053359368645273735,0.02999999999999996
1889,GJ007,28.46,89.2,FLD01889,17180,Groundnut,Oilseed,Rabi,Semi-Arid,289.0,32.0,214.0,6.9,0.94,5.0,34,17.5,757,207,77,179,183.0,26.0,26.0,56.0,3.9,1.0,0.59,0.67,0.018,0.55,0.55,0.55,0.6,0.67,0.64,0.48,0.47,0.33,0.35,331,11.0,0.0,Groundnut,3026.0,0.0,Rabi,0.5933333333333334,0.047842333648024406,0.02457142857142852
1890,AP050,21.32,81.17,FLD01890,16244,Groundnut,Oilseed,Kharif,Plateau,248.0,29.0,186.0,6.7,0.84,4.0,36,14.2,880,718,275,536,625.0,30.5,30.5,72.0,5.4,1.0,0.61,0.67,0.03,0.51,0.57,0.59,0.65,0.67,0.66,0.42,0.47,0.33,0.29,160,7.0,1.0,Groundnut,2851.0,0.0,Kharif,0.6083333333333333,0.05727613425813196,0.03171428571428572
1891,MP029,17.77,79.35,FLD01891,10554,Groundnut,Oilseed,Rabi,Semi-Arid,260.0,35.0,236.0,6.6,0.77,4.0,29,17.8,830,201,94,147,174.0,23.9,23.9,67.0,3.4,1.0,0.59,0.64,0.018,0.54,0.53,0.55,0.62,0.64,0.63,0.45,0.45,0.29,0.32,332,14.0,0.0,Groundnut,2057.0,0.0,Rabi,0.5850000000000001,0.045734742446707465,0.024285714285714265
1892,TN023,20.42,72.81,FLD01892,12660,Groundnut,Oilseed,Kharif,Semi-Arid,207.0,46.0,186.0,6.0,0.73,0.0,36,13.4,631,562,228,430,487.0,28.7,28.7,67.0,6.1,1.0,0.59,0.66,0.026,0.52,0.57,0.57,0.6,0.66,0.65,0.46,0.48,0.34,0.27,142,1.0,0.0,Groundnut,2120.0,0.0,Kharif,0.595,0.048562674281111565,0.027142857142857107
1893,AP019,33.72,82.06,FLD01893,7516,Groundnut,Oilseed,Kharif,Mountain,236.0,42.0,223.0,7.4,0.9,6.0,21,10.4,2334,1872,819,1453,1763.0,25.3,25.3,61.0,5.3,1.0,0.6,0.69,0.024,0.57,0.54,0.55,0.6,0.68,0.69,0.5,0.47,0.34,0.31,155,4.0,1.0,Groundnut,1233.0,0.0,Kharif,0.605,0.05965176722724426,0.03057142857142857
1894,PB017,21.77,84.0,FLD01894,12423,Groundnut,Oilseed,Kharif,Coastal,232.0,42.0,181.0,7.8,0.73,2.0,22,11.1,2210,2044,783,1575,1750.0,30.1,30.1,81.0,5.3,1.0,0.6,0.68,0.024,0.56,0.55,0.57,0.63,0.64,0.68,0.48,0.46,0.31,0.27,143,0.0,2.0,Groundnut,2303.0,0.0,Kharif,0.6050000000000001,0.04787135538781691,0.02657142857142854
1895,MH033,22.04,79.33,FLD01895,9379,Groundnut,Oilseed,Kharif,Semi-Arid,298.0,30.0,216.0,6.8,0.67,1.0,25,16.1,504,474,201,308,438.0,29.9,29.9,64.0,5.9,1.0,0.6,0.68,0.028,0.54,0.54,0.57,0.62,0.66,0.68,0.45,0.46,0.26,0.32,165,3.0,0.0,Groundnut,1716.0,0.0,Kharif,0.6016666666666667,0.05550275268448905,0.0317142857142857
1896,MH010,18.46,74.11,FLD01896,6348,Groundnut,Oilseed,Rabi,Arid,297.0,48.0,207.0,6.1,0.73,5.0,26,19.5,416,118,62,85,111.0,29.3,29.3,46.0,3.7,1.0,0.62,0.69,0.028,0.55,0.56,0.6,0.65,0.67,0.69,0.48,0.46,0.3,0.27,305,12.0,0.0,Groundnut,1553.0,0.0,Rabi,0.62,0.053541261347363346,0.030857142857142836
1897,GJ017,29.84,74.64,FLD01897,7317,Groundnut,Oilseed,Kharif,Arid,310.0,43.0,225.0,6.3,0.57,5.0,36,18.9,283,268,84,190,242.0,31.2,31.2,53.0,5.6,1.0,0.6,0.65,0.024,0.53,0.52,0.59,0.65,0.64,0.65,0.45,0.45,0.29,0.32,162,14.0,1.0,Groundnut,1504.0,0.0,Kharif,0.5966666666666667,0.05467073155618908,0.02914285714285715
1898,GJ039,12.16,82.21,FLD01898,19642,Groundnut,Oilseed,Kharif,Coastal,313.0,43.0,238.0,6.0,0.6,5.0,23,10.7,1104,871,278,612,801.0,29.9,29.9,81.0,5.1,1.0,0.59,0.68,0.03,0.53,0.52,0.55,0.63,0.63,0.68,0.44,0.44,0.34,0.3,145,4.0,1.0,Groundnut,3627.0,0.0,Kharif,0.59,0.05972157622389639,0.03314285714285714
1899,MP040,13.66,89.6,FLD01899,8300,Groundnut,Oilseed,Kharif,Sub-Humid,190.0,43.0,174.0,7.4,0.58,0.0,29,10.9,910,732,231,540,659.0,29.6,29.6,75.0,5.4,1.0,0.59,0.65,0.022,0.54,0.54,0.55,0.62,0.62,0.65,0.47,0.45,0.36,0.3,157,15.0,2.0,Groundnut,1283.0,0.0,Kharif,0.5866666666666667,0.04459696053419883,0.024571428571428536
1900,KA026,14.6,74.29,FLD01900,8401,Groundnut,Oilseed,Rabi,Humid,268.0,34.0,227.0,6.1,0.65,5.0,35,8.6,1446,336,128,311,315.0,20.9,20.9,85.0,3.4,1.0,0.61,0.69,0.028,0.55,0.57,0.55,0.63,0.67,0.69,0.47,0.48,0.28,0.28,325,15.0,0.0,Groundnut,1438.0,0.0,Rabi,0.61,0.05656854249492378,0.030857142857142847
1901,PB046,20.16,81.52,FLD01901,8867,Groundnut,Oilseed,Kharif,Humid,300.0,28.0,225.0,7.1,0.52,6.0,35,6.3,2377,1969,738,1500,1793.0,26.7,26.7,81.0,5.1,1.0,0.6,0.66,0.022,0.53,0.52,0.59,0.63,0.66,0.64,0.45,0.43,0.33,0.35,155,13.0,2.0,Groundnut,1528.0,0.0,Kharif,0.5950000000000001,0.053774219349672255,0.028857142857142828
1902,UP007,10.76,84.79,FLD01902,16291,Groundnut,Oilseed,Rabi,Arid,265.0,46.0,204.0,7.0,0.7,4.0,27,24.3,357,116,63,94,102.0,25.1,25.1,55.0,3.8,1.0,0.61,0.68,0.02,0.57,0.55,0.57,0.6,0.68,0.67,0.48,0.46,0.34,0.3,305,3.0,1.0,Groundnut,3651.0,261.0,Rabi,0.6066666666666667,0.05055250296034369,0.026285714285714284
1903,TN005,14.63,77.33,FLD01903,15760,Groundnut,Oilseed,Rabi,Coastal,210.0,39.0,207.0,6.4,0.97,4.0,33,7.8,2326,578,276,481,539.0,24.0,24.0,82.0,3.6,1.0,0.6,0.66,0.028,0.51,0.54,0.59,0.65,0.66,0.65,0.44,0.47,0.34,0.33,332,16.0,1.0,Groundnut,2854.0,0.0,Rabi,0.6,0.05830951894845301,0.03199999999999999
1904,RJ012,21.75,89.97,FLD01904,13959,Groundnut,Oilseed,Kharif,Humid,229.0,29.0,226.0,6.5,0.94,2.0,35,9.1,2033,1860,584,1233,1736.0,27.2,27.2,78.0,4.9,1.0,0.6,0.65,0.02,0.55,0.55,0.6,0.61,0.65,0.65,0.45,0.47,0.31,0.32,165,3.0,2.0,Groundnut,2328.0,0.0,Kharif,0.6016666666666667,0.04099457958749614,0.023142857142857135
1905,MH012,30.92,81.1,FLD01905,6349,Groundnut,Oilseed,Kharif,Mountain,308.0,50.0,192.0,7.0,0.6,2.0,36,12.5,1623,1358,561,1051,1161.0,23.4,23.4,77.0,5.9,1.0,0.6,0.68,0.03,0.53,0.55,0.55,0.64,0.64,0.68,0.44,0.48,0.31,0.32,164,5.0,2.0,Groundnut,1142.0,0.0,Kharif,0.5983333333333334,0.05698440332426253,0.03171428571428572
1906,PB007,20.62,78.48,FLD01906,11805,Groundnut,Oilseed,Rabi,Sub-Humid,212.0,35.0,172.0,6.5,0.61,2.0,30,8.7,874,181,86,151,170.0,22.2,22.2,71.0,3.6,1.0,0.6,0.68,0.032,0.52,0.55,0.59,0.63,0.63,0.68,0.45,0.46,0.28,0.32,333,0.0,2.0,Groundnut,2258.0,0.0,Rabi,0.6,0.05354126134736337,0.030857142857142857
1907,GJ004,17.0,72.55,FLD01907,18503,Groundnut,Oilseed,Rabi,Plateau,199.0,29.0,226.0,7.4,0.63,6.0,21,13.1,702,145,77,104,130.0,24.0,24.0,67.0,4.2,1.0,0.61,0.68,0.024,0.56,0.55,0.55,0.64,0.67,0.68,0.49,0.45,0.32,0.27,308,8.0,0.0,Groundnut,4331.0,0.0,Rabi,0.6083333333333334,0.05639641438562876,0.03000000000000002
1908,PB030,26.78,72.27,FLD01908,7728,Groundnut,Oilseed,Kharif,Sub-Humid,264.0,29.0,236.0,6.2,0.72,4.0,26,10.8,1151,974,373,669,875.0,28.8,28.8,71.0,5.2,1.0,0.59,0.67,0.024,0.55,0.52,0.56,0.62,0.64,0.67,0.47,0.46,0.34,0.3,170,11.0,1.0,Groundnut,1200.0,0.0,Kharif,0.5933333333333334,0.053437398472937984,0.0291428571428571
1909,PB047,15.78,84.38,FLD01909,9847,Groundnut,Oilseed,Rabi,Coastal,241.0,38.0,178.0,7.4,0.72,6.0,33,10.5,1416,544,241,514,499.0,24.5,24.5,73.0,3.8,1.0,0.61,0.68,0.028,0.54,0.52,0.59,0.65,0.68,0.68,0.46,0.44,0.3,0.36,329,7.0,1.0,Groundnut,1843.0,0.0,Rabi,0.61,0.06429100507328638,0.03542857142857145
1910,UP034,29.71,88.71,FLD01910,15968,Groundnut,Oilseed,Kharif,Sub-Humid,264.0,44.0,240.0,5.9,0.76,3.0,34,10.4,1091,1032,378,712,978.0,28.4,28.4,70.0,6.2,1.0,0.59,0.64,0.024,0.52,0.57,0.58,0.6,0.63,0.64,0.45,0.48,0.32,0.34,153,4.0,2.0,Groundnut,2706.0,0.0,Kharif,0.59,0.04,0.022857142857142868
1911,UP040,15.41,85.69,FLD01911,6073,Groundnut,Oilseed,Rabi,Coastal,299.0,45.0,172.0,5.8,0.72,2.0,37,8.3,1038,398,173,278,356.0,24.6,24.6,81.0,3.7,1.0,0.59,0.65,0.028,0.51,0.54,0.6,0.6,0.64,0.65,0.44,0.45,0.31,0.32,313,1.0,1.0,Groundnut,1054.0,0.0,Rabi,0.59,0.05033222956847166,0.028571428571428536
1912,PB007,21.94,76.88,FLD01912,14586,Groundnut,Oilseed,Kharif,Humid,238.0,45.0,199.0,6.2,0.94,2.0,29,9.7,1853,1729,752,1235,1551.0,28.4,28.4,82.0,5.6,1.0,0.6,0.66,0.024,0.52,0.54,0.58,0.66,0.66,0.64,0.45,0.44,0.28,0.27,154,4.0,0.0,Groundnut,2734.0,0.0,Kharif,0.6000000000000001,0.0565685424949238,0.02971428571428573
1913,RJ043,30.02,76.35,FLD01913,13863,Groundnut,Oilseed,Rabi,Mountain,298.0,49.0,237.0,7.1,0.78,5.0,27,7.5,1135,436,191,356,372.0,18.4,18.4,85.0,4.0,1.0,0.61,0.68,0.018,0.56,0.57,0.58,0.6,0.68,0.65,0.48,0.49,0.25,0.34,306,16.0,0.0,Groundnut,2502.0,0.0,Rabi,0.6066666666666667,0.04384315479321971,0.02285714285714282
1914,UP048,21.11,86.46,FLD01914,18344,Groundnut,Oilseed,Kharif,Coastal,274.0,51.0,190.0,7.5,0.75,2.0,34,7.2,2107,1815,551,1328,1724.0,28.8,28.8,72.0,4.9,1.0,0.61,0.68,0.02,0.54,0.56,0.6,0.63,0.68,0.64,0.46,0.48,0.34,0.26,140,11.0,0.0,Groundnut,3300.0,0.0,Kharif,0.6083333333333334,0.047755162606314676,0.025428571428571422
1915,KA022,25.2,72.32,FLD01915,14681,Groundnut,Oilseed,Kharif,Semi-Arid,211.0,44.0,224.0,6.4,0.51,5.0,31,15.9,662,502,165,326,441.0,29.8,29.8,66.0,6.1,1.0,0.6,0.68,0.024,0.56,0.52,0.56,0.62,0.63,0.68,0.46,0.46,0.32,0.27,164,13.0,0.0,Groundnut,2408.0,0.0,Kharif,0.5950000000000001,0.05346338310781813,0.028285714285714286
1916,KA004,20.48,71.48,FLD01916,13813,Groundnut,Oilseed,Kharif,Coastal,200.0,32.0,174.0,6.1,0.97,4.0,30,10.8,1628,1525,497,1062,1383.0,30.8,30.8,77.0,5.9,1.0,0.61,0.68,0.03,0.53,0.54,0.59,0.63,0.68,0.68,0.45,0.45,0.35,0.3,161,0.0,2.0,Groundnut,2321.0,0.0,Kharif,0.6083333333333334,0.06039223643997814,0.034571428571428586
1917,HR017,28.76,80.29,FLD01917,18151,Groundnut,Oilseed,Rabi,Humid,217.0,49.0,196.0,6.0,0.67,4.0,20,9.4,2496,777,397,643,665.0,20.2,20.2,82.0,3.6,1.0,0.6,0.69,0.028,0.55,0.53,0.59,0.62,0.63,0.69,0.46,0.47,0.27,0.34,332,3.0,0.0,Groundnut,3391.0,0.0,Rabi,0.6016666666666667,0.05304610154279847,0.02942857142857143
1918,RJ005,34.78,83.42,FLD01918,15650,Groundnut,Oilseed,Rabi,Mountain,213.0,39.0,213.0,7.2,0.93,3.0,37,9.1,1701,547,279,448,479.0,15.8,15.8,73.0,4.4,1.0,0.6,0.65,0.018,0.56,0.57,0.56,0.64,0.64,0.65,0.47,0.49,0.29,0.35,333,3.0,1.0,Groundnut,2657.0,0.0,Rabi,0.6033333333333334,0.040276819911981905,0.021142857142857102
1919,UP028,20.22,79.05,FLD01919,13003,Groundnut,Oilseed,Kharif,Arid,276.0,51.0,201.0,6.4,0.78,2.0,26,23.3,379,289,105,203,251.0,31.0,31.0,56.0,4.8,1.0,0.58,0.65,0.024,0.53,0.53,0.57,0.6,0.63,0.65,0.45,0.44,0.33,0.33,170,12.0,0.0,Groundnut,2127.0,0.0,Kharif,0.585,0.046097722286464436,0.026571428571428576
1920,TN020,11.8,82.22,FLD01920,16127,Groundnut,Oilseed,Rabi,Humid,316.0,43.0,230.0,7.1,0.68,4.0,27,5.5,2661,864,461,633,799.0,21.1,21.1,80.0,3.4,1.0,0.59,0.68,0.02,0.54,0.52,0.57,0.61,0.68,0.64,0.44,0.44,0.3,0.35,308,11.0,1.0,Groundnut,2903.0,0.0,Rabi,0.5933333333333334,0.055876848714134036,0.029142857142857158
1921,HR006,20.83,70.65,FLD01921,8008,Groundnut,Oilseed,Rabi,Humid,195.0,34.0,226.0,6.3,0.95,6.0,33,6.5,2049,612,223,554,572.0,22.1,22.1,86.0,3.7,1.0,0.6,0.68,0.024,0.55,0.53,0.56,0.63,0.68,0.67,0.47,0.44,0.28,0.36,322,15.0,0.0,Groundnut,1436.0,0.0,Rabi,0.6033333333333334,0.05934831271588285,0.03200000000000002
1922,TN038,11.47,88.14,FLD01922,13609,Groundnut,Oilseed,Kharif,Coastal,192.0,33.0,234.0,6.1,0.72,1.0,25,7.1,833,707,313,533,658.0,29.9,29.9,70.0,5.1,1.0,0.6,0.67,0.026,0.52,0.54,0.59,0.63,0.67,0.65,0.43,0.46,0.31,0.31,151,2.0,1.0,Groundnut,2368.0,0.0,Kharif,0.6,0.05537749241945384,0.030857142857142836
1923,UP024,16.63,72.29,FLD01923,14376,Groundnut,Oilseed,Rabi,Semi-Arid,249.0,46.0,225.0,6.9,0.73,1.0,32,10.3,535,205,78,171,194.0,24.4,24.4,61.0,3.5,1.0,0.6,0.69,0.032,0.53,0.53,0.6,0.61,0.65,0.69,0.44,0.45,0.35,0.3,307,7.0,1.0,Groundnut,2684.0,0.0,Rabi,0.6016666666666667,0.05842849380986032,0.03342857142857141
1924,RJ008,28.79,84.47,FLD01924,9442,Groundnut,Oilseed,Rabi,Sub-Humid,222.0,29.0,174.0,6.7,0.97,4.0,32,10.8,1124,234,118,174,213.0,22.3,22.3,75.0,4.1,1.0,0.61,0.66,0.022,0.55,0.57,0.55,0.65,0.66,0.66,0.47,0.49,0.33,0.28,324,12.0,2.0,Groundnut,1464.0,0.0,Rabi,0.6066666666666668,0.05055250296034368,0.02628571428571426
1925,AP033,21.18,80.18,FLD01925,15612,Groundnut,Oilseed,Rabi,Coastal,226.0,36.0,223.0,7.5,0.83,2.0,23,6.4,1883,573,296,505,493.0,23.8,23.8,76.0,3.4,1.0,0.6,0.67,0.024,0.55,0.55,0.56,0.61,0.63,0.67,0.46,0.47,0.26,0.33,305,15.0,0.0,Groundnut,2567.0,0.0,Rabi,0.595,0.045368858629387325,0.025428571428571443
1926,MP016,21.22,72.74,FLD01926,6062,Groundnut,Oilseed,Kharif,Sub-Humid,258.0,29.0,213.0,6.4,0.64,5.0,30,13.0,1164,877,277,587,751.0,27.5,27.5,68.0,5.2,1.0,0.6,0.66,0.024,0.53,0.53,0.58,0.62,0.66,0.65,0.44,0.45,0.31,0.27,162,9.0,2.0,Groundnut,984.0,0.0,Kharif,0.5950000000000001,0.05251983752196243,0.029428571428571405
1927,TN038,21.95,72.7,FLD01927,13828,Groundnut,Oilseed,Rabi,Semi-Arid,223.0,47.0,185.0,7.6,0.9,5.0,23,15.9,541,179,96,137,156.0,25.0,25.0,62.0,3.4,1.0,0.59,0.64,0.022,0.53,0.55,0.59,0.61,0.63,0.64,0.45,0.45,0.34,0.34,330,6.0,0.0,Groundnut,2629.0,0.0,Rabi,0.5916666666666667,0.04017323597731315,0.02314285714285717
1928,RJ012,15.47,72.91,FLD01928,18417,Groundnut,Oilseed,Rabi,Semi-Arid,215.0,33.0,224.0,6.4,0.73,5.0,27,15.1,612,159,63,136,138.0,23.1,23.1,65.0,4.4,1.0,0.6,0.69,0.034,0.52,0.54,0.56,0.63,0.68,0.69,0.44,0.45,0.34,0.33,326,6.0,0.0,Groundnut,4353.0,0.0,Rabi,0.6033333333333334,0.06699917080747259,0.03828571428571424
1929,GJ047,22.46,86.1,FLD01929,18136,Groundnut,Oilseed,Kharif,Semi-Arid,311.0,52.0,180.0,7.2,0.78,6.0,29,15.9,837,651,205,501,592.0,30.4,30.4,67.0,6.1,1.0,0.59,0.67,0.024,0.52,0.55,0.57,0.61,0.67,0.64,0.44,0.46,0.32,0.34,151,9.0,1.0,Groundnut,2970.0,0.0,Kharif,0.5933333333333334,0.05185449728701349,0.028571428571428557
1930,GJ018,18.85,80.67,FLD01930,18605,Groundnut,Oilseed,Rabi,Semi-Arid,269.0,38.0,204.0,7.3,0.79,3.0,28,15.9,572,204,95,175,177.0,25.8,25.8,63.0,3.9,1.0,0.6,0.66,0.026,0.52,0.56,0.57,0.61,0.66,0.65,0.45,0.48,0.35,0.34,318,2.0,0.0,Groundnut,3651.0,0.0,Rabi,0.595,0.049916597106239795,0.028285714285714227
1931,GJ007,29.38,73.92,FLD01931,19764,Groundnut,Oilseed,Kharif,Arid,279.0,38.0,197.0,6.0,0.91,1.0,28,18.5,347,308,120,212,265.0,32.1,32.1,52.0,5.4,1.0,0.6,0.68,0.032,0.52,0.55,0.55,0.63,0.68,0.68,0.43,0.46,0.28,0.32,151,0.0,0.0,Groundnut,3259.0,0.0,Kharif,0.6016666666666667,0.06465721580423608,0.036285714285714275
1932,MH046,16.7,81.02,FLD01932,6855,Groundnut,Oilseed,Kharif,Arid,242.0,51.0,203.0,6.0,0.93,1.0,26,23.2,285,215,85,157,187.0,30.8,30.8,52.0,4.9,1.0,0.6,0.67,0.02,0.56,0.55,0.59,0.6,0.67,0.66,0.48,0.48,0.31,0.33,170,10.0,0.0,Groundnut,1435.0,0.0,Kharif,0.6050000000000001,0.04573474244670748,0.024857142857142852
1933,AP035,10.33,82.45,FLD01933,11769,Groundnut,Oilseed,Rabi,Arid,318.0,41.0,199.0,7.6,0.86,5.0,34,18.1,359,112,41,83,96.0,27.8,27.8,46.0,3.7,1.0,0.6,0.66,0.024,0.52,0.57,0.56,0.64,0.66,0.64,0.43,0.49,0.28,0.29,330,16.0,0.0,Groundnut,2532.0,196.0,Rabi,0.5983333333333334,0.051126205500593234,0.027142857142857132
1934,MP013,22.13,86.96,FLD01934,17194,Groundnut,Oilseed,Rabi,Plateau,212.0,29.0,180.0,7.5,0.85,2.0,20,13.9,980,348,135,264,298.0,24.5,24.5,71.0,3.8,1.0,0.59,0.64,0.016,0.55,0.54,0.56,0.64,0.63,0.63,0.45,0.47,0.29,0.33,331,11.0,2.0,Groundnut,2830.0,0.0,Rabi,0.5916666666666667,0.04219662967057386,0.021428571428571415
1935,MP050,22.1,72.94,FLD01935,15188,Groundnut,Oilseed,Rabi,Humid,275.0,47.0,230.0,6.9,0.71,4.0,21,7.6,1207,309,108,230,278.0,21.2,21.2,83.0,4.2,1.0,0.61,0.67,0.018,0.56,0.56,0.6,0.6,0.67,0.65,0.47,0.46,0.34,0.26,331,7.0,1.0,Groundnut,2732.0,0.0,Rabi,0.6066666666666667,0.041499665326629104,0.02228571428571432
