crop,temperature,humidity,rainfall,growth_duration,area,water_requirement
Banana,15.17,46.45,5.78,365,1.0,1.0
Potato,37.75,61.61,19.58,100,1.0,1.0
Wheat,43.38,88.57,17.8,120,1.0,1.0
Maize,24.48,56.88,5.6,110,1.0,1.0
Potato,20.64,63.69,15.82,100,1.0,1.0
Banana,37.41,70.69,5.14,365,1.0,2.03
Chickpea,23.03,80.32,0.52,100,1.0,1.21
Onion,24.87,52.99,8.65,130,1.0,1.0
Wheat,19.9,46.68,11.79,120,1.0,1.0
Tomato,16.13,40.09,14.4,120,1.0,1.0
Maize,31.65,87.39,1.21,110,1.0,1.98
Rice,39.2,84.12,10.75,150,1.0,1.0
Potato,29.71,30.03,16.77,100,1.0,1.0
Banana,18.03,22.62,0.05,365,1.0,3.38
Rice,43.05,47.92,0.03,150,1.0,6.66
Onion,25.71,89.82,2.45,130,1.0,1.0
Potato,29.75,57.82,3.7,100,1.0,1.0
Potato,18.96,78.43,7.44,100,1.0,1.0
Wheat,19.57,82.64,15.42,120,1.0,1.0
Chickpea,18.35,80.07,10.82,100,1.0,1.0
Potato,17.67,36.65,16.63,100,1.0,1.0
Maize,41.84,39.84,9.52,110,1.0,1.0
Chickpea,33.17,40.05,8.8,100,1.0,1.0
Banana,21.64,21.43,14.45,365,1.0,1.0
Tomato,34.5,64.78,16.41,120,1.0,1.0
Rice,20.14,74.68,13.26,150,1.0,1.0
Wheat,27.92,66.64,7.38,120,1.0,1.0
Cotton,34.35,89.54,17.71,180,1.0,1.0
Wheat,15.38,33.35,0.47,120,1.0,1.91
Onion,30.54,42.03,8.0,130,1.0,1.0
Potato,31.01,89.15,9.53,100,1.0,1.0
Cotton,26.12,66.1,10.88,180,1.0,1.0
Wheat,26.99,37.03,8.87,120,1.0,1.0
Sugarcane,34.98,76.95,7.22,365,1.0,1.0
Potato,25.25,89.61,6.41,100,1.0,1.0
Maize,41.28,60.77,2.29,110,1.0,3.15
Chickpea,43.83,36.51,2.89,100,1.0,2.39
Potato,39.48,38.18,3.39,100,1.0,2.48
Banana,36.34,76.33,9.65,365,1.0,1.0
Potato,19.32,71.54,15.43,100,1.0,1.0
Banana,37.83,27.38,6.8,365,1.0,2.82
Banana,35.76,73.57,11.3,365,1.0,1.0
Maize,44.74,47.63,7.43,110,1.0,1.48
Cotton,17.95,67.46,5.69,180,1.0,1.0
Rice,31.8,33.65,12.7,150,1.0,1.0
Onion,22.42,23.16,18.83,130,1.0,1.0
Maize,41.61,48.69,14.83,110,1.0,1.0
Onion,35.42,23.94,0.1,130,1.0,3.97
Rice,37.97,50.31,12.11,150,1.0,1.0
Maize,36.91,33.8,11.55,110,1.0,1.0
Onion,24.09,73.09,14.55,130,1.0,1.0
Onion,23.74,20.41,14.39,130,1.0,1.0
Banana,19.7,45.58,13.23,365,1.0,1.0
Onion,35.28,50.4,0.71,130,1.0,3.05
Tomato,31.71,71.48,15.55,120,1.0,1.0
Banana,25.55,59.56,2.0,365,1.0,2.43
Potato,36.94,50.83,4.6,100,1.0,1.27
Rice,17.56,60.68,19.81,150,1.0,1.0
Onion,40.75,73.4,4.1,130,1.0,1.34
Banana,28.7,35.13,10.83,365,1.0,1.0
Chickpea,39.9,50.39,9.31,100,1.0,1.0
Onion,19.85,53.93,3.26,130,1.0,1.0
Potato,21.16,30.18,18.68,100,1.0,1.0
Sugarcane,33.54,52.27,10.04,365,1.0,1.0
Sugarcane,22.49,79.59,6.15,365,1.0,1.0
Cotton,42.59,35.73,18.7,180,1.0,1.0
Potato,20.8,77.53,16.05,100,1.0,1.0
Chickpea,30.82,60.35,2.29,100,1.0,1.06
Banana,38.08,89.77,15.39,365,1.0,1.0
Tomato,39.11,63.16,17.11,120,1.0,1.0
Wheat,25.78,47.08,13.55,120,1.0,1.0
Sugarcane,32.53,54.9,4.55,365,1.0,1.97
Sugarcane,23.03,82.71,1.22,365,1.0,1.91
Tomato,38.67,45.83,1.57,120,1.0,3.62
Sugarcane,44.76,30.85,4.72,365,1.0,4.76
Tomato,30.55,71.53,12.4,120,1.0,1.0
Chickpea,25.17,49.45,4.22,100,1.0,1.0
Chickpea,34.3,54.13,4.8,100,1.0,1.0
Wheat,36.3,88.65,3.73,120,1.0,1.0
Onion,20.66,82.22,20.0,130,1.0,1.0
Cotton,24.21,34.1,6.82,180,1.0,1.0
Chickpea,19.57,84.85,0.97,100,1.0,1.0
Tomato,17.67,21.65,1.29,120,1.0,1.97
Tomato,38.8,38.77,16.02,120,1.0,1.0
Wheat,39.33,67.7,16.78,120,1.0,1.0
Wheat,34.9,29.22,3.97,120,1.0,2.11
Tomato,42.42,68.83,6.74,120,1.0,1.0
Wheat,34.47,72.33,3.08,120,1.0,1.48
Wheat,29.56,21.02,10.69,120,1.0,1.0
Cotton,38.52,52.87,8.65,180,1.0,1.0
Tomato,39.91,24.57,16.41,120,1.0,1.0
Sugarcane,40.62,65.53,8.9,365,1.0,1.0
Wheat,44.34,35.19,8.57,120,1.0,1.0
Chickpea,40.95,54.82,1.12,100,1.0,2.57
Maize,38.53,41.73,1.92,110,1.0,3.54
Maize,29.27,45.85,19.86,110,1.0,1.0
Onion,38.18,36.11,3.66,130,1.0,2.24
Tomato,25.44,57.63,6.11,120,1.0,1.0
Cotton,42.75,53.66,3.99,180,1.0,2.44
Cotton,20.22,79.23,12.84,180,1.0,1.0
Wheat,32.44,60.73,11.16,120,1.0,1.0
Chickpea,22.76,77.29,8.88,100,1.0,1.0
Cotton,15.9,88.99,3.18,180,1.0,1.0
Rice,35.0,56.12,18.91,150,1.0,1.0
Tomato,44.84,53.44,18.35,120,1.0,1.0
Tomato,35.77,26.33,3.49,120,1.0,2.8
Sugarcane,31.26,85.93,13.59,365,1.0,1.0
Tomato,32.9,72.35,9.52,120,1.0,1.0
Wheat,35.64,59.26,19.38,120,1.0,1.0
Banana,15.01,78.08,19.54,365,1.0,1.0
Banana,29.34,42.19,7.63,365,1.0,1.0
Potato,16.87,31.93,5.98,100,1.0,1.0
Onion,30.06,65.88,12.61,130,1.0,1.0
Potato,24.97,61.56,12.8,100,1.0,1.0
Wheat,18.5,78.98,18.38,120,1.0,1.0
Potato,31.44,52.99,19.35,100,1.0,1.0
Wheat,43.03,68.55,16.07,120,1.0,1.0
Maize,16.38,65.78,4.37,110,1.0,1.0
Cotton,15.54,62.15,18.85,180,1.0,1.0
Rice,36.28,38.3,5.21,150,1.0,3.21
Potato,33.66,54.33,6.92,100,1.0,1.0
Wheat,21.09,44.93,10.53,120,1.0,1.0
Banana,16.69,53.56,19.36,365,1.0,1.0
Sugarcane,30.77,63.07,12.21,365,1.0,1.0
Potato,22.36,72.96,18.93,100,1.0,1.0
Cotton,15.68,44.94,6.23,180,1.0,1.0
Cotton,38.55,70.56,5.48,180,1.0,1.0
Onion,15.54,74.9,12.14,130,1.0,1.0
Sugarcane,42.78,42.09,10.81,365,1.0,1.0
Chickpea,28.13,50.09,5.2,100,1.0,1.0
Chickpea,41.24,71.43,3.88,100,1.0,1.0
Potato,32.83,82.45,1.36,100,1.0,1.79
Maize,42.54,80.09,8.45,110,1.0,1.0
Rice,35.35,79.74,3.48,150,1.0,2.46
Banana,23.54,37.29,0.38,365,1.0,3.54
Rice,31.41,26.58,16.57,150,1.0,1.0
Cotton,36.65,65.09,6.53,180,1.0,1.0
Cotton,15.07,85.94,11.63,180,1.0,1.0
Tomato,33.98,47.55,11.71,120,1.0,1.0
Wheat,22.4,74.54,8.04,120,1.0,1.0
Wheat,22.03,50.42,16.78,120,1.0,1.0
Potato,31.0,79.16,12.86,100,1.0,1.0
Potato,35.39,77.31,19.21,100,1.0,1.0
Banana,20.95,47.48,1.13,365,1.0,2.65
Chickpea,17.44,31.4,16.9,100,1.0,1.0
Cotton,42.49,39.74,3.62,180,1.0,3.01
Maize,35.4,86.37,6.61,110,1.0,1.0
Banana,15.59,87.64,10.76,365,1.0,1.0
Maize,30.36,22.92,5.01,110,1.0,1.41
Tomato,24.17,73.63,8.56,120,1.0,1.0
Potato,30.09,68.91,5.03,100,1.0,1.0
Sugarcane,20.62,60.83,15.06,365,1.0,1.0
Sugarcane,23.84,74.94,6.06,365,1.0,1.0
Cotton,33.58,39.49,11.27,180,1.0,1.0
Chickpea,26.56,68.77,14.58,100,1.0,1.0
Sugarcane,42.73,24.86,11.73,365,1.0,1.1
Cotton,36.96,59.13,6.56,180,1.0,1.0
Onion,22.07,75.84,18.59,130,1.0,1.0
Maize,44.99,27.48,2.69,110,1.0,4.57
Onion,20.94,68.01,0.76,130,1.0,1.52
Cotton,32.08,53.82,5.14,180,1.0,1.0
Onion,20.97,32.35,13.52,130,1.0,1.0
Cotton,32.05,28.66,6.92,180,1.0,1.0
Sugarcane,18.36,36.78,9.27,365,1.0,1.0
Rice,33.26,89.63,0.47,150,1.0,3.38
Onion,24.45,71.78,19.6,130,1.0,1.0
Tomato,45.0,85.08,15.31,120,1.0,1.0
Sugarcane,44.78,61.05,7.91,365,1.0,1.9
Tomato,26.32,77.12,12.65,120,1.0,1.0
Sugarcane,39.68,78.85,13.5,365,1.0,1.0
Rice,30.0,83.08,13.52,150,1.0,1.0
Banana,37.89,47.57,2.57,365,1.0,4.22
Cotton,28.39,65.23,9.36,180,1.0,1.0
Cotton,20.39,80.97,11.8,180,1.0,1.0
Maize,37.13,30.16,7.19,110,1.0,1.04
Tomato,28.52,41.78,5.16,120,1.0,1.0
Potato,29.69,33.49,10.49,100,1.0,1.0
Tomato,38.23,34.99,3.84,120,1.0,2.73
Tomato,17.94,67.51,14.84,120,1.0,1.0
Banana,37.31,58.5,19.6,365,1.0,1.0
Chickpea,15.58,86.2,7.01,100,1.0,1.0
Maize,39.81,78.65,11.36,110,1.0,1.0
Chickpea,27.21,31.81,9.24,100,1.0,1.0
Rice,17.93,27.35,15.33,150,1.0,1.0
Chickpea,38.21,70.03,16.4,100,1.0,1.0
Banana,28.59,63.61,4.75,365,1.0,1.31
Wheat,43.03,37.19,15.62,120,1.0,1.0
Banana,26.59,47.46,15.45,365,1.0,1.0
Cotton,37.72,60.0,8.06,180,1.0,1.0
Sugarcane,20.65,29.55,18.71,365,1.0,1.0
Onion,17.94,66.72,9.95,130,1.0,1.0
Onion,40.22,56.9,16.99,130,1.0,1.0
Wheat,40.7,66.91,0.9,120,1.0,3.35
Potato,22.83,85.15,8.38,100,1.0,1.0
Wheat,28.07,64.49,15.04,120,1.0,1.0
Maize,40.77,57.04,15.36,110,1.0,1.0
Chickpea,33.79,32.74,6.42,100,1.0,1.0
Potato,29.69,29.97,12.21,100,1.0,1.0
Potato,32.73,31.91,15.55,100,1.0,1.0
Sugarcane,29.05,87.57,0.64,365,1.0,2.62
Cotton,16.22,55.53,3.41,180,1.0,1.0
Wheat,40.4,72.77,12.81,120,1.0,1.0
Chickpea,35.05,73.71,8.3,100,1.0,1.0
Maize,43.35,34.3,6.64,110,1.0,2.11
Cotton,34.44,88.16,8.79,180,1.0,1.0
Wheat,32.78,28.72,0.37,120,1.0,3.66
Maize,35.91,22.38,9.14,110,1.0,1.0
Cotton,22.22,68.22,14.52,180,1.0,1.0
Tomato,16.17,83.75,19.39,120,1.0,1.0
Tomato,18.69,37.66,6.59,120,1.0,1.0
Chickpea,38.19,50.12,17.56,100,1.0,1.0
Sugarcane,42.25,77.91,17.06,365,1.0,1.0
Chickpea,42.78,52.78,5.92,100,1.0,1.0
Tomato,27.5,71.42,19.03,120,1.0,1.0
Sugarcane,18.34,78.84,7.22,365,1.0,1.0
Maize,16.35,71.82,6.22,110,1.0,1.0
Potato,30.48,43.76,11.06,100,1.0,1.0
Rice,37.94,86.72,13.62,150,1.0,1.0
Potato,29.01,25.65,11.99,100,1.0,1.0
Sugarcane,28.46,63.51,15.31,365,1.0,1.0
Cotton,27.64,57.6,12.61,180,1.0,1.0
Chickpea,39.0,21.99,3.22,100,1.0,2.01
Rice,31.72,58.9,10.25,150,1.0,1.0
Tomato,22.82,75.6,3.1,120,1.0,1.0
Sugarcane,26.6,59.74,5.37,365,1.0,1.0
Wheat,42.94,51.17,9.04,120,1.0,1.0
Onion,23.81,48.46,18.83,130,1.0,1.0
Maize,17.73,60.87,10.14,110,1.0,1.0
Sugarcane,40.96,42.11,0.87,365,1.0,5.53
Banana,22.62,50.52,5.8,365,1.0,1.0
Maize,19.42,65.81,6.9,110,1.0,1.0
Cotton,42.18,77.66,13.62,180,1.0,1.0
Sugarcane,18.28,64.24,8.11,365,1.0,1.0
Chickpea,40.58,75.03,4.71,100,1.0,1.0
Rice,42.32,59.25,6.62,150,1.0,2.74
Cotton,32.79,86.91,18.73,180,1.0,1.0
Maize,17.1,27.82,11.63,110,1.0,1.0
Sugarcane,35.72,59.19,18.33,365,1.0,1.0
Tomato,22.35,66.28,0.66,120,1.0,1.95
Wheat,25.99,86.69,5.86,120,1.0,1.0
Tomato,43.91,73.77,4.77,120,1.0,1.82
Tomato,39.18,47.27,13.09,120,1.0,1.0
Sugarcane,27.52,56.13,9.59,365,1.0,1.0
Banana,43.15,42.88,9.71,365,1.0,1.76
Cotton,23.01,74.4,7.31,180,1.0,1.0
Rice,39.45,73.8,1.43,150,1.0,4.27
Banana,32.99,37.67,7.73,365,1.0,1.18
Wheat,22.1,55.84,19.0,120,1.0,1.0
Potato,19.83,84.42,2.74,100,1.0,1.0
Rice,17.23,33.42,19.74,150,1.0,1.0
Chickpea,39.82,66.02,15.75,100,1.0,1.0
Maize,26.66,27.04,10.52,110,1.0,1.0
Tomato,37.21,64.99,17.68,120,1.0,1.0
Chickpea,41.33,70.93,2.15,100,1.0,1.74
Potato,19.07,24.62,5.94,100,1.0,1.0
Chickpea,37.3,85.36,16.22,100,1.0,1.0
Chickpea,37.31,54.89,11.63,100,1.0,1.0
Chickpea,20.84,33.7,2.77,100,1.0,1.0
Cotton,27.69,54.64,1.7,180,1.0,1.92
Tomato,27.91,48.45,16.88,120,1.0,1.0
Rice,33.23,57.86,13.52,150,1.0,1.0
Onion,32.28,75.07,2.52,130,1.0,1.33
Potato,16.73,87.36,19.45,100,1.0,1.0
Sugarcane,16.79,35.49,2.1,365,1.0,1.85
Onion,20.75,36.77,5.4,130,1.0,1.0
Tomato,23.96,40.77,19.41,120,1.0,1.0
Banana,34.64,40.16,0.65,365,1.0,4.9
Sugarcane,32.12,88.34,10.56,365,1.0,1.0
Wheat,25.12,50.21,18.61,120,1.0,1.0
Wheat,35.74,86.17,16.82,120,1.0,1.0
Potato,36.03,69.19,16.43,100,1.0,1.0
Chickpea,26.55,74.11,15.36,100,1.0,1.0
Onion,34.19,52.6,4.8,130,1.0,1.0
Onion,19.9,66.34,6.69,130,1.0,1.0
Chickpea,26.9,41.01,6.9,100,1.0,1.0
Cotton,20.31,83.72,14.62,180,1.0,1.0
Wheat,35.14,72.07,15.23,120,1.0,1.0
Cotton,34.28,47.93,18.92,180,1.0,1.0
Wheat,33.51,78.06,8.74,120,1.0,1.0
Maize,19.38,51.29,0.9,110,1.0,1.85
Cotton,24.31,60.05,16.9,180,1.0,1.0
Potato,24.28,50.67,6.61,100,1.0,1.0
Cotton,34.4,42.47,11.02,180,1.0,1.0
Tomato,22.1,76.29,12.75,120,1.0,1.0
Rice,17.15,66.2,0.11,150,1.0,2.56
Chickpea,44.07,55.32,18.19,100,1.0,1.0
Cotton,35.19,44.86,0.52,180,1.0,3.49
Banana,44.79,45.99,6.87,365,1.0,3.36
Rice,16.89,21.16,1.72,150,1.0,2.61
Chickpea,40.86,22.33,0.78,100,1.0,3.43
Banana,21.08,77.71,9.0,365,1.0,1.0
Maize,42.0,28.96,16.97,110,1.0,1.0
Wheat,42.75,65.99,18.99,120,1.0,1.0
Potato,35.2,28.79,4.37,100,1.0,1.7
Tomato,16.74,65.12,11.53,120,1.0,1.0
Onion,22.84,51.82,15.37,130,1.0,1.0
Onion,17.59,73.68,2.61,130,1.0,1.0
Chickpea,36.39,66.49,0.99,100,1.0,2.02
Chickpea,44.38,52.91,2.08,100,1.0,2.46
Chickpea,40.1,31.74,10.77,100,1.0,1.0
Banana,22.38,24.72,16.68,365,1.0,1.0
Sugarcane,28.5,79.99,5.19,365,1.0,1.0
Rice,33.79,74.13,9.53,150,1.0,1.0
Rice,16.54,40.66,11.75,150,1.0,1.0
Chickpea,44.51,27.27,6.87,100,1.0,1.0
Sugarcane,30.67,59.18,13.02,365,1.0,1.0
Chickpea,44.78,41.74,8.97,100,1.0,1.0
Onion,23.03,70.69,14.14,130,1.0,1.0
Rice,15.32,65.41,8.09,150,1.0,1.0
Maize,19.05,53.75,16.99,110,1.0,1.0
Cotton,19.32,88.95,3.07,180,1.0,1.0
Banana,41.45,37.04,4.34,365,1.0,4.37
Rice,36.99,52.17,18.63,150,1.0,1.0
Sugarcane,41.84,89.1,4.74,365,1.0,1.92
Tomato,15.34,87.37,10.55,120,1.0,1.0
Potato,29.0,38.36,10.84,100,1.0,1.0
Cotton,20.73,82.42,3.24,180,1.0,1.0
Potato,15.57,52.93,1.9,100,1.0,1.0
Tomato,17.09,78.19,17.47,120,1.0,1.0
Potato,29.71,53.62,14.08,100,1.0,1.0
Chickpea,44.79,84.37,15.73,100,1.0,1.0
Cotton,34.28,30.04,9.12,180,1.0,1.0
Potato,43.37,29.39,3.6,100,1.0,3.13
Cotton,24.04,68.08,5.87,180,1.0,1.0
Sugarcane,19.63,54.26,3.01,365,1.0,1.31
Cotton,37.55,22.07,7.15,180,1.0,1.05
Banana,40.21,26.91,17.71,365,1.0,1.0
Banana,28.2,23.0,7.52,365,1.0,1.0
Chickpea,25.51,77.34,14.53,100,1.0,1.0
Rice,33.09,62.63,2.17,150,1.0,3.39
Onion,16.96,24.35,5.88,130,1.0,1.0
Wheat,20.16,86.67,6.05,120,1.0,1.0
Banana,18.62,82.32,5.05,365,1.0,1.0
Wheat,30.13,45.21,8.74,120,1.0,1.0
Rice,39.75,65.97,9.25,150,1.0,1.0
Tomato,40.95,58.36,8.72,120,1.0,1.0
Wheat,44.76,37.36,10.17,120,1.0,1.0
Chickpea,38.85,61.82,10.44,100,1.0,1.0
Rice,18.98,64.95,6.56,150,1.0,1.0
Chickpea,16.76,22.43,13.87,100,1.0,1.0
Onion,30.34,48.64,4.56,130,1.0,1.0
Sugarcane,21.18,44.09,10.5,365,1.0,1.0
Potato,24.08,36.03,17.98,100,1.0,1.0
Tomato,44.35,88.9,12.2,120,1.0,1.0
Tomato,34.37,86.47,11.62,120,1.0,1.0
Wheat,34.49,85.23,10.34,120,1.0,1.0
Tomato,40.66,54.83,18.31,120,1.0,1.0
Wheat,40.13,79.92,9.0,120,1.0,1.0
Sugarcane,35.16,43.42,5.97,365,1.0,1.98
Banana,34.17,40.53,6.16,365,1.0,2.06
Chickpea,25.43,72.28,13.5,100,1.0,1.0
Cotton,24.75,31.81,2.59,180,1.0,1.62
Maize,20.12,53.44,4.98,110,1.0,1.0
Maize,25.59,74.13,4.53,110,1.0,1.0
Chickpea,21.61,39.99,18.99,100,1.0,1.0
Chickpea,20.36,26.66,4.55,100,1.0,1.0
Wheat,29.67,58.08,8.0,120,1.0,1.0
Sugarcane,25.09,89.8,6.32,365,1.0,1.0
Chickpea,39.85,51.71,14.85,100,1.0,1.0
Cotton,20.35,78.34,15.77,180,1.0,1.0
Onion,21.89,73.89,15.64,130,1.0,1.0
Wheat,32.12,24.53,13.43,120,1.0,1.0
Tomato,16.08,25.96,6.72,120,1.0,1.0
Potato,31.86,56.42,12.85,100,1.0,1.0
Chickpea,18.21,82.97,13.06,100,1.0,1.0
Sugarcane,16.89,48.24,15.16,365,1.0,1.0
Maize,41.6,35.01,7.82,110,1.0,1.23
Onion,30.6,53.74,18.25,130,1.0,1.0
Banana,37.08,33.22,4.28,365,1.0,3.74
Potato,15.53,29.99,2.12,100,1.0,1.0
Onion,19.87,83.56,10.95,130,1.0,1.0
Onion,31.41,68.99,15.61,130,1.0,1.0
Potato,26.48,43.58,13.15,100,1.0,1.0
Wheat,27.48,78.06,12.28,120,1.0,1.0
Maize,38.8,54.61,11.38,110,1.0,1.0
Rice,41.09,40.05,17.05,150,1.0,1.0
Onion,44.8,46.81,3.89,130,1.0,2.67
Rice,35.03,57.21,3.96,150,1.0,2.96
Sugarcane,17.28,86.83,8.83,365,1.0,1.0
Cotton,27.49,83.49,14.82,180,1.0,1.0
Onion,18.14,33.11,12.61,130,1.0,1.0
Onion,18.81,41.01,17.84,130,1.0,1.0
Potato,37.3,20.65,7.25,100,1.0,1.0
Chickpea,37.99,26.37,11.28,100,1.0,1.0
Rice,39.61,46.07,4.32,150,1.0,3.96
Banana,15.53,68.81,11.2,365,1.0,1.0
Cotton,32.06,21.32,10.43,180,1.0,1.0
Chickpea,29.87,66.87,6.66,100,1.0,1.0
Wheat,31.39,58.41,19.5,120,1.0,1.0
Maize,34.85,59.64,18.76,110,1.0,1.0
Onion,43.94,30.47,19.91,130,1.0,1.0
Potato,18.85,35.72,2.71,100,1.0,1.0
Cotton,35.07,50.63,6.24,180,1.0,1.0
Onion,18.6,21.38,8.29,130,1.0,1.0
Onion,17.45,27.19,1.35,130,1.0,1.55
Rice,28.46,66.84,17.38,150,1.0,1.0
Potato,44.95,37.23,9.29,100,1.0,1.0
Banana,21.75,36.84,0.07,365,1.0,3.5
Sugarcane,38.4,63.68,13.84,365,1.0,1.0
Rice,22.87,57.45,15.37,150,1.0,1.0
Potato,27.4,47.68,10.17,100,1.0,1.0
Banana,17.64,27.93,13.4,365,1.0,1.0
Onion,43.34,56.76,4.75,130,1.0,1.76
Onion,20.92,29.0,1.55,130,1.0,1.68
Potato,23.06,75.99,1.01,100,1.0,1.4
Sugarcane,16.36,59.58,12.69,365,1.0,1.0
Maize,23.67,82.6,3.57,110,1.0,1.0
Cotton,34.68,30.02,12.64,180,1.0,1.0
Tomato,18.08,28.57,7.14,120,1.0,1.0
Banana,39.29,69.95,0.9,365,1.0,4.45
Maize,30.56,61.62,18.33,110,1.0,1.0
Cotton,36.71,48.06,18.38,180,1.0,1.0
Onion,42.64,45.73,3.61,130,1.0,2.56
Sugarcane,34.28,49.38,17.57,365,1.0,1.0
Banana,34.33,61.52,12.29,365,1.0,1.0
Cotton,25.71,20.3,5.51,180,1.0,1.0
Sugarcane,32.53,38.78,16.15,365,1.0,1.0
Rice,22.27,60.46,9.91,150,1.0,1.0
Potato,37.18,48.42,18.3,100,1.0,1.0
Tomato,16.61,49.89,5.36,120,1.0,1.0
Chickpea,29.64,82.8,7.76,100,1.0,1.0
Chickpea,20.47,21.76,10.13,100,1.0,1.0
Rice,38.12,20.89,11.3,150,1.0,1.16
Potato,26.98,49.31,17.26,100,1.0,1.0
Chickpea,22.28,29.02,9.83,100,1.0,1.0
Rice,39.89,42.16,3.54,150,1.0,4.56
Wheat,22.52,51.17,5.13,120,1.0,1.0
Maize,18.59,22.5,18.78,110,1.0,1.0
Maize,15.62,68.81,19.77,110,1.0,1.0
Onion,25.2,26.21,8.2,130,1.0,1.0
Chickpea,34.89,88.98,18.7,100,1.0,1.0
Chickpea,16.96,76.06,14.86,100,1.0,1.0
Maize,30.36,25.73,8.63,110,1.0,1.0
Rice,25.83,60.76,7.1,150,1.0,1.0
Onion,23.18,56.46,18.74,130,1.0,1.0
Potato,24.35,28.74,11.49,100,1.0,1.0
Potato,36.0,77.76,6.81,100,1.0,1.0
Banana,41.7,87.71,0.35,365,1.0,4.36
Maize,32.84,88.75,15.04,110,1.0,1.0
Rice,36.08,54.18,17.76,150,1.0,1.0
Maize,39.37,74.94,16.4,110,1.0,1.0
Banana,19.68,75.11,16.27,365,1.0,1.0
Chickpea,43.36,38.3,5.62,100,1.0,1.0
Onion,32.44,85.53,4.02,130,1.0,1.0
Banana,41.89,23.12,7.29,365,1.0,3.54
Potato,21.25,48.86,1.61,100,1.0,1.39
Tomato,23.5,89.94,10.0,120,1.0,1.0
Onion,24.53,80.65,14.96,130,1.0,1.0
Cotton,25.27,39.01,18.05,180,1.0,1.0
Onion,38.72,43.42,5.1,130,1.0,1.4
Wheat,36.27,53.27,13.2,120,1.0,1.0
Maize,38.05,28.25,4.01,110,1.0,2.81
Sugarcane,15.3,21.89,4.12,365,1.0,1.0
Onion,36.56,46.74,7.14,130,1.0,1.0
Potato,20.36,48.31,14.48,100,1.0,1.0
Chickpea,19.72,76.01,5.18,100,1.0,1.0
Chickpea,24.42,87.39,2.58,100,1.0,1.0
Sugarcane,21.24,68.76,4.15,365,1.0,1.0
Tomato,17.77,50.98,3.9,120,1.0,1.0
Banana,22.91,79.44,13.94,365,1.0,1.0
Banana,27.48,83.48,0.83,365,1.0,2.62
Rice,43.71,77.63,13.56,150,1.0,1.0
Maize,38.24,37.89,3.18,110,1.0,2.98
Wheat,33.48,75.21,3.08,120,1.0,1.32
Banana,20.47,30.92,13.87,365,1.0,1.0
Sugarcane,27.82,77.89,15.71,365,1.0,1.0
Chickpea,43.88,46.81,4.44,100,1.0,1.37
Tomato,19.99,65.74,0.19,120,1.0,2.02
Sugarcane,25.75,46.95,1.08,365,1.0,3.06
Sugarcane,43.51,88.54,9.14,365,1.0,1.0
Tomato,29.99,65.75,15.42,120,1.0,1.0
Onion,18.22,48.9,4.23,130,1.0,1.0
Banana,39.24,23.62,14.9,365,1.0,1.0
Cotton,27.63,72.99,15.69,180,1.0,1.0
Banana,25.93,89.29,0.75,365,1.0,2.37
Maize,24.47,60.89,5.48,110,1.0,1.0
Chickpea,16.39,30.91,18.02,100,1.0,1.0
Rice,22.97,49.93,3.39,150,1.0,1.83
Cotton,20.29,73.36,7.77,180,1.0,1.0
Chickpea,38.36,76.89,12.3,100,1.0,1.0
Tomato,25.92,48.88,14.95,120,1.0,1.0
Potato,26.46,30.15,6.94,100,1.0,1.0
Sugarcane,20.15,62.88,8.58,365,1.0,1.0
Chickpea,17.05,53.06,1.12,100,1.0,1.0
Sugarcane,42.95,49.03,3.61,365,1.0,4.23
Sugarcane,36.46,72.89,18.91,365,1.0,1.0
Cotton,33.16,34.24,12.92,180,1.0,1.0
Tomato,28.23,60.16,19.26,120,1.0,1.0
Sugarcane,15.45,72.53,14.2,365,1.0,1.0
Onion,16.62,32.17,7.55,130,1.0,1.0
Maize,37.75,86.52,14.04,110,1.0,1.0
Maize,32.97,40.07,19.31,110,1.0,1.0
Maize,31.94,65.02,4.6,110,1.0,1.0
Potato,24.85,52.7,5.73,100,1.0,1.0
Rice,35.43,82.95,13.7,150,1.0,1.0
Tomato,18.2,77.26,1.8,120,1.0,1.0
Banana,33.89,68.47,13.28,365,1.0,1.0
Wheat,41.99,73.24,15.77,120,1.0,1.0
Sugarcane,40.76,30.33,15.14,365,1.0,1.0
Sugarcane,43.34,38.45,7.24,365,1.0,2.91
Wheat,29.57,27.92,4.15,120,1.0,1.41
Banana,28.12,22.61,10.59,365,1.0,1.0
Banana,32.22,70.73,1.88,365,1.0,2.97
Banana,21.25,67.77,19.52,365,1.0,1.0
Rice,37.71,54.02,12.32,150,1.0,1.0
Potato,39.08,87.3,12.82,100,1.0,1.0
Potato,21.72,69.31,0.21,100,1.0,1.82
Tomato,25.89,86.99,17.0,120,1.0,1.0
Onion,23.37,20.52,7.47,130,1.0,1.0
Chickpea,25.13,20.82,7.48,100,1.0,1.0
Potato,41.5,44.61,15.16,100,1.0,1.0
Maize,27.99,45.67,17.23,110,1.0,1.0
Tomato,16.15,79.82,6.36,120,1.0,1.0
Onion,39.25,61.84,16.9,130,1.0,1.0
Wheat,34.26,65.4,9.8,120,1.0,1.0
Tomato,40.2,26.43,12.83,120,1.0,1.0
Rice,23.53,68.6,18.94,150,1.0,1.0
Banana,25.82,85.11,5.26,365,1.0,1.0
Potato,20.41,77.79,16.96,100,1.0,1.0
Tomato,17.41,71.02,14.92,120,1.0,1.0
