record_id,district_code,latitude,longitude,field_id,area_m2,crop_name,crop_type,season,agro_climatic_zone,soil_n,soil_p,soil_k,soil_ph,organic_carbon,soil_texture,soil_moisture_pct,groundwater_depth_m,avg_rainfall_mm,rainfall_mm,rainfall_30d_mm,rainfall_60d_mm,rainfall_effective_mm,avg_temp_c,temperature_avg_c,humidity_pct,et0_mm,kc_value,ndvi_mean,ndvi_max,ndvi_trend,ndvi_t1,ndvi_t2,ndvi_t3,ndvi_t4,ndvi_t5,ndvi_t6,evi_t1,evi_t2,ndwi_t1,ndwi_t2,sowing_day_of_year,growth_stage,irrigation_method,recommended_crop,yield_kg,water_required_m3,season_target
416,KA050,10.11,85.51,FLD00416,18218,Maize,Cereal,Kharif,Humid,276,29,208,6.2,0.66,Clay,38,9.2,1668,1489,627,1175,1411,25.5,25.5,86,4.7,1.03,0.6,0.67,0.026,0.54,0.54,0.58,0.6,0.66,0.67,0.46,0.45,0.31,0.29,144,Vegetative,Surface,Maize,4487,0,Kharif
417,UP031,11.74,87.56,FLD00417,15890,Maize,Cereal,Kharif,Arid,282,44,201,7.6,0.92,Sandy,20,16.6,396,311,102,227,294,33.3,33.3,46,5.3,1.03,0.59,0.67,0.024,0.55,0.52,0.54,0.61,0.64,0.67,0.46,0.44,0.31,0.27,155,Pod formation,Sprinkler,Maize,3782,0,Kharif
418,TN031,12.25,84.73,FLD00418,10235,Maize,Cereal,Kharif,Coastal,234,34,230,6.8,0.6,Sandy Loam,32,9.3,2084,1788,751,1125,1531,28.4,28.4,82,5.2,1.03,0.6,0.67,0.02,0.57,0.52,0.55,0.64,0.65,0.67,0.5,0.45,0.29,0.34,167,Mature,Drip,Maize,2619,0,Kharif
419,MP029,25.28,88.43,FLD00419,11122,Maize,Cereal,Rabi,Mountain,237,51,186,6.8,0.96,Sandy Clay,33,12.2,1544,383,173,315,347,11.7,11.7,62,3.9,1.03,0.6,0.69,0.026,0.56,0.52,0.56,0.61,0.66,0.69,0.47,0.45,0.31,0.36,318,Grain filling,Sprinkler,Maize,2593,0,Rabi
420,UP035,19.39,71.82,FLD00420,13022,Maize,Cereal,Kharif,Humid,312,47,178,6.3,0.63,Loam,29,8.0,1666,1353,589,1057,1261,27.3,27.3,78,5.0,1.03,0.6,0.67,0.024,0.55,0.53,0.58,0.64,0.64,0.67,0.48,0.46,0.33,0.28,149,Mature,Surface,Maize,3154,0,Kharif
421,KA008,10.86,77.75,FLD00421,13521,Maize,Cereal,Rabi,Coastal,254,48,201,6.2,0.88,Laterite,30,7.1,2126,769,326,613,679,24.4,24.4,78,4.2,1.03,0.61,0.68,0.016,0.55,0.53,0.6,0.65,0.68,0.63,0.46,0.46,0.35,0.31,319,Tillering,Surface,Maize,3431,0,Rabi
422,RJ039,13.98,71.02,FLD00422,12007,Maize,Cereal,Rabi,Sub-Humid,207,43,225,6.6,0.56,Sandy Loam,23,9.8,877,182,66,132,158,23.1,23.1,74,3.3,1.03,0.59,0.65,0.026,0.51,0.54,0.58,0.61,0.65,0.64,0.44,0.46,0.3,0.32,308,Flowering,Drip,Maize,3019,0,Rabi
423,MP014,18.67,71.94,FLD00423,18518,Maize,Cereal,Rabi,Coastal,318,47,172,7.7,0.54,Clay,28,10.9,1055,231,119,174,202,23.9,23.9,73,3.3,1.03,0.59,0.65,0.022,0.53,0.53,0.58,0.63,0.65,0.64,0.44,0.44,0.34,0.31,310,Vegetative,Surface,Maize,4790,0,Rabi
424,RJ028,25.23,90.3,FLD00424,8360,Maize,Cereal,Rabi,Mountain,314,38,211,5.8,0.74,Clay Loam,34,11.9,2427,555,202,504,483,17.1,17.1,66,3.3,1.03,0.59,0.66,0.024,0.54,0.53,0.56,0.61,0.66,0.66,0.44,0.46,0.29,0.33,317,Nut development,Sprinkler,Maize,2014,0,Rabi
425,RJ028,21.43,77.19,FLD00425,5335,Maize,Cereal,Rabi,Arid,294,41,181,6.7,0.67,Loam,31,24.1,316,93,35,84,86,28.2,28.2,48,3.9,1.03,0.6,0.67,0.028,0.53,0.56,0.55,0.65,0.63,0.67,0.44,0.46,0.36,0.3,330,Rhizome development,Drip,Maize,1449,205,Rabi
426,AP011,27.42,73.72,FLD00426,11708,Maize,Cereal,Rabi,Humid,313,30,199,7.5,0.8,Sandy Clay,25,6.4,2163,840,444,637,719,22.4,22.4,76,3.4,1.03,0.6,0.66,0.024,0.53,0.56,0.57,0.64,0.66,0.65,0.44,0.48,0.28,0.33,327,Reproductive,Sprinkler,Maize,2984,0,Rabi
427,MH026,30.13,75.41,FLD00427,13265,Maize,Cereal,Rabi,Mountain,214,33,176,6.7,0.91,Sandy Loam,31,11.6,2043,597,263,523,509,17.4,17.4,84,3.3,1.03,0.6,0.67,0.028,0.52,0.53,0.57,0.63,0.67,0.66,0.45,0.46,0.31,0.33,324,Rhizome development,Surface,Maize,2829,0,Rabi
428,KA033,18.52,78.97,FLD00428,11679,Maize,Cereal,Rabi,Coastal,307,32,174,6.2,0.79,Loam,29,6.7,2651,748,318,593,668,23.6,23.6,73,3.4,1.03,0.6,0.67,0.022,0.54,0.55,0.59,0.61,0.67,0.65,0.45,0.48,0.35,0.28,305,Grain filling,Sprinkler,Maize,2756,0,Rabi
429,MH016,27.65,79.27,FLD00429,11812,Maize,Cereal,Rabi,Humid,217,48,182,6.4,0.53,Clay Loam,32,9.4,2986,856,402,675,733,21.5,21.5,82,3.7,1.03,0.6,0.67,0.03,0.52,0.57,0.55,0.66,0.63,0.67,0.43,0.47,0.29,0.3,334,Boll formation,Drip,Maize,2810,0,Rabi
430,MH034,16.94,76.53,FLD00430,11028,Maize,Cereal,Rabi,Sub-Humid,211,42,232,6.7,0.75,Clay,37,11.6,1139,343,188,253,316,23.6,23.6,75,3.5,1.03,0.59,0.64,0.024,0.52,0.56,0.55,0.63,0.64,0.64,0.43,0.46,0.28,0.3,327,Tillering,Drip,Maize,2498,0,Rabi
431,MH005,29.27,86.36,FLD00431,8450,Maize,Cereal,Kharif,Mountain,221,29,203,7.3,0.88,Sandy Loam,34,14.3,1578,1475,551,908,1398,20.6,20.6,83,5.7,1.03,0.61,0.67,0.016,0.57,0.53,0.58,0.65,0.67,0.65,0.49,0.45,0.32,0.35,159,Bearing,Surface,Maize,1904,0,Kharif
432,AP022,14.52,70.44,FLD00432,12919,Maize,Cereal,Kharif,Sub-Humid,310,37,233,7.7,0.98,Sandy,38,9.5,981,756,243,487,711,29.4,29.4,75,5.7,1.03,0.6,0.66,0.02,0.55,0.55,0.57,0.62,0.66,0.65,0.46,0.47,0.35,0.32,147,Reproductive,Sprinkler,Maize,3302,0,Kharif
433,RJ002,18.12,78.64,FLD00433,11786,Maize,Cereal,Rabi,Arid,265,39,185,6.4,0.73,Clay Loam,32,20.9,353,100,39,76,90,29.0,29.0,50,3.5,1.03,0.6,0.68,0.032,0.52,0.52,0.59,0.61,0.65,0.68,0.46,0.45,0.34,0.28,324,Fruiting,Drip,Maize,3234,238,Rabi
434,UP043,12.67,89.67,FLD00434,11009,Maize,Cereal,Kharif,Semi-Arid,202,29,191,7.6,0.66,Sandy,38,10.7,520,453,191,289,397,28.7,28.7,56,5.0,1.03,0.6,0.67,0.024,0.55,0.55,0.59,0.61,0.63,0.67,0.46,0.47,0.33,0.27,155,Grand growth,Sprinkler,Maize,2289,0,Kharif
435,RJ029,17.87,76.77,FLD00435,7667,Maize,Cereal,Kharif,Sub-Humid,271,44,209,6.4,0.84,Clay Loam,33,12.0,970,881,376,645,752,27.6,27.6,70,5.1,1.03,0.58,0.63,0.016,0.55,0.52,0.55,0.62,0.63,0.63,0.48,0.45,0.32,0.34,162,Flowering,Sprinkler,Maize,1729,0,Kharif
436,MH024,28.75,74.2,FLD00436,12753,Maize,Cereal,Rabi,Plateau,220,40,194,6.5,0.52,Laterite,28,10.7,1159,339,184,303,313,25.3,25.3,67,3.7,1.03,0.61,0.68,0.026,0.55,0.57,0.59,0.65,0.64,0.68,0.46,0.48,0.27,0.34,331,Tuber development,Sprinkler,Maize,2761,0,Rabi
437,TN047,20.26,79.91,FLD00437,9552,Maize,Cereal,Kharif,Semi-Arid,226,41,174,7.3,0.8,Clay,30,16.4,690,564,178,425,517,31.9,31.9,60,4.8,1.03,0.6,0.68,0.022,0.53,0.54,0.57,0.63,0.68,0.64,0.46,0.47,0.27,0.36,144,Mature,Sprinkler,Maize,2154,0,Kharif
438,HR041,8.62,75.15,FLD00438,11673,Maize,Cereal,Rabi,Coastal,196,43,223,7.7,0.94,Sandy Clay,38,7.4,1445,530,209,406,485,24.8,24.8,73,4.1,1.03,0.59,0.67,0.022,0.53,0.52,0.56,0.61,0.67,0.64,0.43,0.43,0.27,0.35,331,Tillering,Surface,Maize,2925,0,Rabi
439,AP050,8.23,85.87,FLD00439,17005,Maize,Cereal,Rabi,Coastal,193,43,197,6.9,0.77,Laterite,23,11.1,2695,1072,495,838,919,24.1,24.1,76,3.4,1.03,0.6,0.67,0.02,0.57,0.52,0.55,0.64,0.64,0.67,0.49,0.44,0.34,0.29,326,Bulbing,Drip,Maize,3944,0,Rabi
440,GJ005,28.09,85.85,FLD00440,13989,Maize,Cereal,Rabi,Mountain,219,31,170,7.7,0.53,Laterite,28,14.7,1364,481,200,396,431,18.5,18.5,63,3.8,1.03,0.6,0.67,0.02,0.56,0.54,0.55,0.61,0.67,0.66,0.47,0.44,0.35,0.34,321,Tillering,Drip,Maize,3270,0,Rabi
441,PB013,16.84,80.44,FLD00441,16297,Maize,Cereal,Kharif,Semi-Arid,302,52,214,5.9,0.91,Laterite,33,10.8,762,689,248,436,633,30.5,30.5,66,5.2,1.03,0.61,0.65,0.018,0.56,0.57,0.59,0.63,0.65,0.65,0.47,0.5,0.26,0.27,158,Bulbing,Sprinkler,Maize,3942,0,Kharif
442,MH021,22.97,78.31,FLD00442,18721,Maize,Cereal,Rabi,Plateau,298,30,187,7.5,0.79,Sandy Clay,23,12.2,1134,338,185,297,315,22.7,22.7,74,3.9,1.03,0.59,0.69,0.032,0.53,0.55,0.57,0.6,0.63,0.69,0.46,0.48,0.33,0.34,306,Boll formation,Drip,Maize,4027,0,Rabi
443,GJ032,34.81,94.5,FLD00443,10960,Maize,Cereal,Rabi,Mountain,258,51,208,6.6,0.51,Loam,30,8.5,1281,478,256,406,443,18.7,18.7,68,3.6,1.03,0.6,0.65,0.018,0.56,0.53,0.56,0.65,0.64,0.65,0.49,0.45,0.31,0.35,308,Boll formation,Surface,Maize,2633,0,Rabi
444,MP049,20.69,81.66,FLD00444,6645,Maize,Cereal,Rabi,Coastal,190,37,223,6.0,0.66,Clay,21,6.8,993,387,180,281,349,24.0,24.0,76,3.7,1.03,0.6,0.64,0.024,0.52,0.57,0.6,0.61,0.64,0.64,0.46,0.49,0.28,0.33,316,Tillering,Sprinkler,Maize,1510,0,Rabi
445,PB016,13.39,89.15,FLD00445,19152,Maize,Cereal,Kharif,Plateau,284,28,236,7.6,0.78,Clay,26,11.4,893,680,225,498,605,27.2,27.2,64,5.2,1.03,0.6,0.65,0.016,0.57,0.53,0.56,0.65,0.63,0.65,0.49,0.45,0.35,0.31,151,Tuber development,Drip,Maize,4622,0,Kharif
446,GJ043,21.53,86.29,FLD00446,14506,Maize,Cereal,Kharif,Plateau,243,32,175,6.3,0.62,Sandy,22,12.8,786,741,253,461,681,26.0,26.0,75,4.8,1.03,0.6,0.68,0.032,0.52,0.53,0.55,0.64,0.67,0.68,0.44,0.45,0.33,0.33,143,Tuber development,Sprinkler,Maize,3279,0,Kharif
447,TN032,27.07,82.06,FLD00447,19253,Maize,Cereal,Kharif,Mountain,305,36,225,5.9,0.5,Clay Loam,25,7.5,1144,1029,389,659,892,17.1,17.1,68,4.9,1.03,0.59,0.64,0.02,0.54,0.56,0.55,0.62,0.64,0.64,0.45,0.49,0.34,0.35,149,Vegetative,Sprinkler,Maize,4250,0,Kharif
448,RJ025,28.1,70.34,FLD00448,8840,Maize,Cereal,Rabi,Semi-Arid,236,45,235,7.1,0.57,Loam,31,14.2,550,139,66,125,121,25.2,25.2,56,3.2,1.03,0.61,0.68,0.026,0.53,0.53,0.6,0.65,0.68,0.66,0.46,0.46,0.33,0.36,323,Grand growth,Drip,Maize,2598,0,Rabi
449,HR022,25.37,85.39,FLD00449,11876,Maize,Cereal,Rabi,Arid,180,43,194,6.2,0.85,Clay,33,17.5,455,115,44,92,98,29.2,29.2,50,3.9,1.03,0.61,0.67,0.024,0.55,0.57,0.56,0.65,0.65,0.67,0.47,0.48,0.3,0.31,323,Bearing,Sprinkler,Maize,3250,356,Rabi
450,RJ027,11.24,85.83,FLD00450,8358,Maize,Cereal,Kharif,Coastal,316,51,179,6.0,0.98,Sandy Clay,34,10.3,1252,1123,373,695,1065,28.8,28.8,71,5.7,1.03,0.6,0.64,0.016,0.56,0.52,0.6,0.63,0.63,0.64,0.48,0.45,0.35,0.29,153,Flush,Sprinkler,Maize,2159,0,Kharif
451,MH032,10.34,83.65,FLD00451,16938,Bajra,Cereal,Kharif,Coastal,235,41,212,6.0,0.74,Sandy Loam,38,7.7,1674,1488,655,1116,1410,29.7,29.7,71,5.8,0.95,0.59,0.64,0.018,0.55,0.53,0.59,0.61,0.63,0.64,0.48,0.44,0.29,0.27,163,Vegetative,Sprinkler,Bajra,2324,0,Kharif
452,TN024,10.63,84.51,FLD00452,16863,Bajra,Cereal,Kharif,Semi-Arid,256,49,225,6.1,0.53,Sandy Loam,35,13.0,587,484,183,356,421,31.6,31.6,57,5.7,0.95,0.6,0.67,0.026,0.54,0.54,0.58,0.61,0.67,0.67,0.47,0.46,0.35,0.32,164,Grain filling,Sprinkler,Bajra,2616,0,Kharif
453,HR014,13.15,89.94,FLD00453,13730,Bajra,Cereal,Kharif,Humid,294,41,192,7.0,0.88,Loam,30,6.3,1638,1531,642,1174,1372,25.8,25.8,83,6.0,0.95,0.6,0.67,0.022,0.56,0.52,0.58,0.65,0.64,0.67,0.49,0.43,0.3,0.36,164,Fruiting,Surface,Bajra,2085,0,Kharif
454,TN009,26.35,85.36,FLD00454,13831,Bajra,Cereal,Kharif,Mountain,241,29,235,7.5,0.76,Sandy,27,11.3,1242,1015,386,661,906,19.3,19.3,61,5.7,0.95,0.59,0.66,0.028,0.52,0.56,0.58,0.6,0.63,0.66,0.44,0.48,0.28,0.33,145,Tuber bulking,Sprinkler,Bajra,1769,0,Kharif
455,MH050,29.86,76.75,FLD00455,5542,Bajra,Cereal,Kharif,Sub-Humid,186,52,173,7.5,0.85,Sandy,30,8.8,1176,1019,318,650,932,29.9,29.9,76,5.7,0.95,0.61,0.68,0.018,0.56,0.56,0.58,0.64,0.68,0.65,0.48,0.49,0.3,0.28,165,Flowering,Sprinkler,Bajra,735,0,Kharif
456,HR035,20.92,72.96,FLD00456,15946,Bajra,Cereal,Kharif,Arid,302,37,232,6.8,0.87,Sandy Loam,25,23.2,323,274,114,181,234,32.8,32.8,45,6.3,0.95,0.59,0.65,0.028,0.51,0.53,0.56,0.62,0.64,0.65,0.43,0.45,0.31,0.32,154,Flowering,Drip,Bajra,2594,0,Kharif
457,UP043,27.69,79.56,FLD00457,10269,Bajra,Cereal,Kharif,Mountain,192,39,209,7.4,0.88,Clay Loam,21,11.4,1061,928,285,595,846,20.1,20.1,74,6.9,0.95,0.61,0.66,0.016,0.56,0.56,0.6,0.65,0.66,0.64,0.46,0.49,0.35,0.34,157,Vegetative,Sprinkler,Bajra,1485,0,Kharif
458,MH017,27.8,88.3,FLD00458,17099,Bajra,Cereal,Kharif,Arid,246,48,192,6.9,0.73,Sandy Loam,36,16.9,433,390,147,239,358,31.6,31.6,47,5.8,0.95,0.6,0.65,0.02,0.55,0.55,0.58,0.64,0.64,0.65,0.45,0.48,0.33,0.27,142,Grand growth,Sprinkler,Bajra,2475,0,Kharif
459,AP006,14.03,70.58,FLD00459,17751,Bajra,Cereal,Kharif,Coastal,298,29,219,6.4,0.97,Clay Loam,25,8.1,2336,1926,661,1492,1708,28.6,28.6,80,6.8,0.95,0.6,0.65,0.024,0.53,0.57,0.6,0.6,0.63,0.65,0.45,0.48,0.29,0.31,163,Pod formation,Surface,Bajra,2587,0,Kharif
460,TN036,25.44,84.62,FLD00460,11035,Bajra,Cereal,Kharif,Arid,308,44,192,7.5,0.63,Clay,24,19.7,462,410,164,273,358,31.7,31.7,49,6.6,0.95,0.6,0.65,0.026,0.52,0.56,0.56,0.65,0.64,0.65,0.45,0.47,0.29,0.27,167,Tuber bulking,Drip,Bajra,1461,0,Kharif
461,GJ035,22.0,80.52,FLD00461,16816,Bajra,Cereal,Kharif,Plateau,192,47,195,6.3,0.54,Clay,26,11.4,787,653,227,421,617,31.3,31.3,63,6.9,0.95,0.61,0.68,0.028,0.54,0.57,0.6,0.6,0.68,0.68,0.47,0.49,0.31,0.25,163,Mature,Drip,Bajra,2223,0,Kharif
462,UP050,29.95,70.59,FLD00462,6748,Bajra,Cereal,Kharif,Arid,286,31,240,6.1,0.79,Sandy,27,21.9,335,282,114,184,265,31.7,31.7,56,7.1,0.95,0.61,0.68,0.024,0.56,0.56,0.57,0.63,0.65,0.68,0.46,0.48,0.33,0.34,143,Vegetative,Sprinkler,Bajra,1147,0,Kharif
463,MP034,12.18,75.84,FLD00463,8790,Bajra,Cereal,Kharif,Sub-Humid,302,38,173,7.0,0.86,Clay Loam,26,8.9,930,872,340,611,777,27.2,27.2,73,6.2,0.95,0.6,0.66,0.026,0.53,0.52,0.59,0.64,0.63,0.66,0.46,0.43,0.3,0.27,150,Fruiting,Sprinkler,Bajra,1156,0,Kharif
464,MH034,18.57,89.33,FLD00464,17185,Bajra,Cereal,Kharif,Humid,204,31,186,6.7,0.91,Sandy,26,9.4,1313,1121,370,760,996,28.5,28.5,75,5.6,0.95,0.6,0.67,0.024,0.52,0.57,0.56,0.65,0.67,0.64,0.44,0.47,0.31,0.31,167,Flush,Sprinkler,Bajra,2388,0,Kharif
465,PB042,22.53,79.71,FLD00465,17501,Bajra,Cereal,Kharif,Humid,216,47,196,7.8,0.9,Loam,21,5.6,1822,1693,509,1194,1519,26.8,26.8,78,5.8,0.95,0.59,0.67,0.022,0.52,0.52,0.56,0.62,0.67,0.63,0.45,0.44,0.34,0.33,149,Mature,Drip,Bajra,2504,0,Kharif
466,AP037,16.13,69.8,FLD00466,9740,Bajra,Cereal,Kharif,Coastal,226,28,227,7.8,0.78,Sandy Loam,32,10.5,2246,1941,856,1327,1777,29.9,29.9,82,6.8,0.95,0.6,0.67,0.03,0.52,0.55,0.55,0.64,0.66,0.67,0.44,0.46,0.32,0.29,167,Flush,Surface,Bajra,1468,0,Kharif
467,KA013,16.66,88.0,FLD00467,8185,Bajra,Cereal,Kharif,Coastal,207,33,198,6.4,0.57,Clay Loam,32,9.4,2767,2594,936,1919,2235,31.0,31.0,80,6.3,0.95,0.6,0.69,0.024,0.57,0.52,0.57,0.64,0.64,0.69,0.49,0.44,0.27,0.34,152,Tuber development,Surface,Bajra,1217,0,Kharif
468,PB049,14.88,89.0,FLD00468,7269,Bajra,Cereal,Kharif,Plateau,184,37,170,7.6,0.96,Clay,23,14.9,1229,1071,376,760,948,31.1,31.1,74,5.7,0.95,0.6,0.65,0.022,0.54,0.53,0.59,0.62,0.65,0.65,0.45,0.46,0.26,0.31,158,Grain filling,Sprinkler,Bajra,885,0,Kharif
469,PB021,31.86,77.91,FLD00469,8117,Bajra,Cereal,Kharif,Mountain,266,52,185,6.3,0.59,Loam,32,11.3,1885,1635,680,1258,1525,18.7,18.7,60,7.0,0.95,0.59,0.65,0.022,0.54,0.53,0.54,0.65,0.65,0.65,0.47,0.44,0.27,0.35,167,Pod formation,Sprinkler,Bajra,1132,0,Kharif
470,UP002,11.62,73.87,FLD00470,15025,Bajra,Cereal,Kharif,Arid,192,30,218,6.9,0.79,Loam,22,17.9,405,309,126,188,268,32.4,32.4,53,5.8,0.95,0.6,0.66,0.02,0.55,0.55,0.55,0.62,0.66,0.65,0.48,0.47,0.32,0.3,160,Flush,Drip,Bajra,2068,0,Kharif
471,MP043,27.71,84.52,FLD00471,17500,Bajra,Cereal,Kharif,Humid,213,47,187,6.5,0.77,Sandy,35,8.6,2891,2442,873,1488,2263,25.6,25.6,76,6.7,0.95,0.6,0.68,0.026,0.51,0.57,0.58,0.61,0.68,0.64,0.43,0.47,0.28,0.34,159,Tillering,Sprinkler,Bajra,2604,0,Kharif
472,GJ030,14.05,88.32,FLD00472,11575,Bajra,Cereal,Kharif,Semi-Arid,319,30,229,5.8,0.91,Sandy Loam,23,10.6,583,437,138,327,377,29.0,29.0,60,6.3,0.95,0.6,0.68,0.028,0.54,0.57,0.56,0.61,0.65,0.68,0.46,0.48,0.32,0.32,161,Bearing,Drip,Bajra,1730,0,Kharif
473,PB003,10.96,87.28,FLD00473,9817,Bajra,Cereal,Kharif,Sub-Humid,204,41,205,6.4,0.53,Clay Loam,26,11.4,902,748,284,587,648,29.7,29.7,76,6.7,0.95,0.61,0.68,0.028,0.52,0.57,0.58,0.65,0.68,0.66,0.45,0.47,0.29,0.3,155,Pod formation,Sprinkler,Bajra,1286,0,Kharif
474,HR029,12.76,85.09,FLD00474,17851,Bajra,Cereal,Kharif,Coastal,239,52,224,7.5,0.61,Laterite,37,7.5,1035,951,310,700,879,29.0,29.0,79,5.5,0.95,0.61,0.68,0.028,0.54,0.56,0.57,0.64,0.65,0.68,0.45,0.48,0.27,0.34,147,Vegetative,Sprinkler,Bajra,2622,0,Kharif
475,MH024,20.37,86.15,FLD00475,19091,Bajra,Cereal,Kharif,Humid,180,40,239,6.1,0.82,Sandy Loam,25,6.1,1915,1561,505,1246,1410,27.7,27.7,80,6.6,0.95,0.6,0.67,0.02,0.57,0.56,0.57,0.61,0.63,0.67,0.5,0.46,0.31,0.29,140,Flush,Sprinkler,Bajra,2976,0,Kharif
476,PB050,30.94,75.79,FLD00476,14676,Bajra,Cereal,Kharif,Mountain,248,35,225,7.0,0.76,Laterite,37,13.9,1548,1200,525,924,1047,24.0,24.0,83,7.1,0.95,0.6,0.64,0.014,0.57,0.55,0.58,0.63,0.64,0.64,0.5,0.46,0.32,0.31,162,Tuber development,Surface,Bajra,1893,0,Kharif
477,PB030,15.67,79.04,FLD00477,13940,Bajra,Cereal,Kharif,Arid,189,50,226,6.0,0.94,Sandy Loam,37,19.0,349,295,112,234,261,31.1,31.1,49,7.0,0.95,0.61,0.66,0.018,0.57,0.52,0.58,0.66,0.65,0.66,0.48,0.43,0.31,0.36,154,Fruiting,Sprinkler,Bajra,2277,0,Kharif
478,PB037,26.54,91.68,FLD00478,10244,Bajra,Cereal,Kharif,Mountain,230,43,174,7.4,0.76,Clay,36,7.0,1662,1473,616,992,1363,23.0,23.0,71,7.0,0.95,0.59,0.64,0.022,0.53,0.55,0.58,0.63,0.63,0.64,0.44,0.47,0.34,0.29,161,Rhizome development,Sprinkler,Bajra,1314,0,Kharif
479,MP013,28.68,77.86,FLD00479,14725,Bajra,Cereal,Kharif,Semi-Arid,215,39,207,6.2,0.62,Sandy Loam,37,15.9,637,578,245,372,545,31.8,31.8,64,6.4,0.95,0.6,0.67,0.026,0.54,0.53,0.58,0.65,0.64,0.67,0.47,0.46,0.28,0.36,168,Boll formation,Drip,Bajra,1901,0,Kharif
480,TN022,10.41,87.42,FLD00480,8631,Bajra,Cereal,Kharif,Coastal,315,47,217,6.0,0.91,Sandy Clay,23,9.4,1601,1318,400,961,1163,29.6,29.6,78,7.1,0.95,0.59,0.65,0.018,0.56,0.56,0.56,0.61,0.62,0.65,0.48,0.49,0.34,0.34,170,Boll formation,Drip,Bajra,1390,0,Kharif
481,MH013,28.28,81.98,FLD00481,7700,Bajra,Cereal,Kharif,Arid,313,50,212,7.0,0.63,Sandy,22,23.4,303,251,78,165,218,30.6,30.6,46,6.9,0.95,0.61,0.68,0.026,0.53,0.57,0.59,0.63,0.68,0.66,0.44,0.48,0.35,0.26,146,Pod formation,Sprinkler,Bajra,1423,0,Kharif
482,GJ019,26.5,92.29,FLD00482,18146,Bajra,Cereal,Kharif,Mountain,202,29,215,6.2,0.68,Sandy Clay,23,12.6,3045,2571,794,1919,2218,17.3,17.3,71,6.3,0.95,0.59,0.65,0.022,0.54,0.57,0.56,0.61,0.63,0.65,0.47,0.5,0.3,0.26,148,Mature,Sprinkler,Bajra,2516,0,Kharif
483,PB029,15.09,84.35,FLD00483,12369,Bajra,Cereal,Kharif,Coastal,251,37,191,6.1,0.84,Sandy Clay,30,11.9,2629,2323,885,1551,2157,29.8,29.8,75,7.1,0.95,0.61,0.68,0.032,0.52,0.52,0.6,0.65,0.68,0.68,0.44,0.44,0.28,0.35,165,Grand growth,Drip,Bajra,1661,0,Kharif
484,TN005,28.07,87.78,FLD00484,14606,Bajra,Cereal,Kharif,Mountain,240,32,184,7.4,0.92,Sandy,26,7.0,2292,1939,733,1409,1703,20.3,20.3,63,6.7,0.95,0.61,0.68,0.02,0.56,0.55,0.57,0.63,0.68,0.66,0.48,0.48,0.35,0.28,161,Grand growth,Sprinkler,Bajra,2096,0,Kharif
485,MP010,29.41,93.99,FLD00485,15537,Bajra,Cereal,Kharif,Mountain,181,32,216,7.5,0.97,Clay,25,14.4,2079,1646,730,1160,1533,24.1,24.1,85,5.8,0.95,0.58,0.67,0.022,0.52,0.52,0.55,0.61,0.67,0.63,0.44,0.43,0.31,0.27,157,Grain filling,Drip,Bajra,2012,0,Kharif
486,PB030,15.25,73.2,FLD00486,16756,Bajra,Cereal,Kharif,Humid,268,28,238,6.1,0.73,Sandy Clay,22,8.3,1562,1417,616,986,1293,26.3,26.3,83,6.7,0.95,0.58,0.63,0.022,0.52,0.52,0.58,0.6,0.63,0.63,0.45,0.45,0.34,0.31,151,Bearing,Surface,Bajra,2388,0,Kharif
487,KA046,12.04,71.06,FLD00487,19238,Bajra,Cereal,Kharif,Plateau,292,31,230,6.2,0.72,Sandy Loam,26,11.1,872,815,324,646,706,31.7,31.7,64,7.0,0.95,0.62,0.67,0.022,0.56,0.57,0.6,0.64,0.67,0.67,0.48,0.49,0.28,0.31,150,Tuber bulking,Drip,Bajra,2951,0,Kharif
488,HR035,23.07,84.05,FLD00488,9006,Bajra,Cereal,Kharif,Sub-Humid,232,38,209,6.3,0.56,Clay,34,11.7,1102,874,368,575,793,29.8,29.8,72,6.4,0.95,0.61,0.68,0.026,0.55,0.56,0.55,0.62,0.67,0.68,0.47,0.47,0.27,0.26,148,Bearing,Drip,Bajra,1219,0,Kharif
489,RJ047,28.02,79.37,FLD00489,13634,Bajra,Cereal,Kharif,Plateau,208,34,232,7.2,0.89,Sandy Loam,38,14.7,1181,943,304,719,838,30.5,30.5,67,5.7,0.95,0.6,0.67,0.026,0.54,0.53,0.6,0.61,0.66,0.67,0.47,0.46,0.31,0.32,165,Flowering,Surface,Bajra,1847,0,Kharif
490,UP043,14.21,84.8,FLD00490,16549,Bajra,Cereal,Kharif,Plateau,311,39,193,6.3,0.76,Sandy,21,9.4,934,883,296,598,778,26.5,26.5,71,6.4,0.95,0.6,0.68,0.034,0.51,0.57,0.55,0.61,0.67,0.68,0.44,0.47,0.29,0.31,165,Flush,Surface,Bajra,2484,0,Kharif
491,TN031,16.96,70.48,FLD00491,9960,Bajra,Cereal,Kharif,Plateau,250,48,235,6.2,0.79,Sandy Loam,20,12.0,1131,866,349,606,790,29.7,29.7,62,5.7,0.95,0.6,0.68,0.026,0.52,0.53,0.59,0.65,0.68,0.65,0.45,0.44,0.28,0.34,152,Grain filling,Surface,Bajra,1343,0,Kharif
