intent,utterance
planting_schedule,Optimal planting time for Sugarcane
planting_schedule,Planting and harvesting months for Castor
fertilizer_advice,"Fertilizer recommendation for Niger given N=45, P=30, K=35"
fertilizer_advice,When to apply phosphorus for Arecanut?
fertilizer_advice,What fertilizer schedule is best for Ragi?
pest_disease_help,My Green_Peas leaves are yellow — what could be wrong?
pest_disease_help,Best pesticide practice for Niger
fertilizer_advice,"Fertilizer recommendation for Barley given N=100, P=40, K=35"
fertilizer_advice,How much nitrogen should I apply for Ginger?
pest_disease_help,Symptoms of common diseases in Sugarcane
planting_schedule,What is the planting month for Barley?
pest_disease_help,Best pesticide practice for Cabbage
irrigation_advice,Best irrigation practice for Cabbage
recommend_crop,Best crop for temperature 28C and humidity 80%
irrigation_advice,How often should I irrigate Maize?
irrigation_advice,How often should I irrigate Jowar?
planting_schedule,Optimal planting time for Cumin
irrigation_advice,How often should I irrigate Rice?
planting_schedule,Planting and harvesting months for Cassava
pest_disease_help,My Tomato leaves are yellow — what could be wrong?
recommend_crop,Best crop for temperature 28C and humidity 90%
irrigation_advice,Best irrigation practice for Arecanut
planting_schedule,When should I plant Cabbage in my region?
recommend_crop,Which crop suits my soil with pH 7.2 and rainfall 300mm?
planting_schedule,Planting and harvesting months for Tea
recommend_crop,Recommend a crop for pH 7.0 and temperature 27C
recommend_crop,Recommend a crop for pH 6.5 and temperature 28C
irrigation_advice,How much water does Black_Pepper need per week?
fertilizer_advice,When to apply phosphorus for Niger?
pest_disease_help,Symptoms of common diseases in Rapeseed_Mustard
irrigation_advice,Best irrigation practice for Coriander
irrigation_advice,How much water does Oats need per week?
pest_disease_help,Best pesticide practice for Barley
recommend_crop,What crop should I grow if my soil pH is 6.0 and rainfall 500mm?
pest_disease_help,How to treat fungal infection in Sweet_Potato?
irrigation_advice,Water requirement for Barley with rainfall 350mm
fertilizer_advice,"Fertilizer recommendation for Onion given N=125, P=60, K=120"
planting_schedule,Planting and harvesting months for Coffee
planting_schedule,When does Linseed mature after planting?
irrigation_advice,Best irrigation practice for Oats
recommend_crop,Recommend a crop for pH 7.0 and temperature 18C
fertilizer_advice,When to apply phosphorus for Turmeric?
irrigation_advice,Irrigation schedule for Coriander in Rabi season
irrigation_advice,How often should I irrigate Ginger?
planting_schedule,Planting and harvesting months for Cumin
pest_disease_help,Symptoms of common diseases in Linseed
pest_disease_help,How to manage pests in Wheat fields?
irrigation_advice,Irrigation schedule for Fenugreek in Rabi season
planting_schedule,When should I plant Sesamum in my region?
fertilizer_advice,What fertilizer schedule is best for Jute?
pest_disease_help,How to treat fungal infection in Cotton?
irrigation_advice,Best irrigation practice for Sugarcane
fertilizer_advice,How much nitrogen should I apply for Coffee?
planting_schedule,When should I plant Barley in my region?
fertilizer_advice,When to apply phosphorus for Fenugreek?
recommend_crop,Suggest a crop for low nitrogen soils (N=60 kg/ha)
pest_disease_help,How to treat fungal infection in Ragi?
pest_disease_help,Best pesticide practice for Sesamum
fertilizer_advice,What fertilizer schedule is best for Bajra?
irrigation_advice,Best irrigation practice for Linseed
pest_disease_help,How to treat fungal infection in Jwar?
fertilizer_advice,What fertilizer schedule is best for Tomato?
pest_disease_help,My Jowar leaves are yellow — what could be wrong?
pest_disease_help,How to treat fungal infection in Ragi?
irrigation_advice,How much water does Sesamum need per week?
irrigation_advice,Irrigation schedule for Cardamom in Year Round season
pest_disease_help,How to manage pests in Tea fields?
recommend_crop,Best crop for temperature 24C and humidity 70%
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 250mm?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 350mm?
recommend_crop,Best crop for temperature 20C and humidity 90%
pest_disease_help,How to treat fungal infection in Rice?
pest_disease_help,Best pesticide practice for Ginger
planting_schedule,Planting and harvesting months for Coriander
recommend_crop,Recommend a crop for pH 6.5 and temperature 26C
irrigation_advice,How often should I irrigate Bajra?
fertilizer_advice,What fertilizer schedule is best for Barley?
fertilizer_advice,"Fertilizer recommendation for Cumin given N=45, P=30, K=45"
recommend_crop,Recommend a crop for pH 6.0 and temperature 25C
fertilizer_advice,How much nitrogen should I apply for Safflower?
fertilizer_advice,"Fertilizer recommendation for Jowar given N=100, P=40, K=40"
planting_schedule,Optimal planting time for Tobacco
pest_disease_help,How to manage pests in Onion fields?
irrigation_advice,How much water does Sweet_Potato need per week?
fertilizer_advice,What fertilizer schedule is best for Rapeseed_Mustard?
recommend_crop,Which crop suits my soil with pH 7.5 and rainfall 300mm?
irrigation_advice,How much water does Sunflower need per week?
planting_schedule,When does Carrot mature after planting?
pest_disease_help,Best pesticide practice for Castor
planting_schedule,When does Rice mature after planting?
irrigation_advice,How often should I irrigate Carrot?
recommend_crop,Recommend a crop for pH 6.0 and temperature 25C
planting_schedule,When should I plant Coriander in my region?
irrigation_advice,How much water does Coffee need per week?
irrigation_advice,Best irrigation practice for Cardamom
recommend_crop,Recommend a crop for pH 6.5 and temperature 20C
recommend_crop,Suggest a crop for low nitrogen soils (N=60 kg/ha)
pest_disease_help,Symptoms of common diseases in Brinjal
irrigation_advice,How often should I irrigate Coconut?
recommend_crop,What crop should I grow if my soil pH is 7.5 and rainfall 250mm?
planting_schedule,Optimal planting time for Potato
fertilizer_advice,"Fertilizer recommendation for Sunflower given N=80, P=60, K=60"
fertilizer_advice,How much nitrogen should I apply for Cauliflower?
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 1200mm?
recommend_crop,What crop should I grow if my soil pH is 5.5 and rainfall 1200mm?
irrigation_advice,Water requirement for Rapeseed_Mustard with rainfall 300mm
irrigation_advice,Irrigation schedule for Okra in Kharif season
irrigation_advice,How much water does Ragi need per week?
pest_disease_help,Symptoms of common diseases in Fenugreek
planting_schedule,Optimal planting time for Maize
fertilizer_advice,What fertilizer schedule is best for Linseed?
fertilizer_advice,"Fertilizer recommendation for Safflower given N=80, P=45, K=45"
recommend_crop,Recommend a crop for pH 6.2 and temperature 27C
planting_schedule,Optimal planting time for Sweet_Potato
pest_disease_help,How to treat fungal infection in Sunflower?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 600mm?
fertilizer_advice,What fertilizer schedule is best for Groundnut?
irrigation_advice,How much water does Tur_Arhar need per week?
recommend_crop,Which crop suits my soil with pH 6.0 and rainfall 500mm?
fertilizer_advice,How much nitrogen should I apply for Turmeric?
fertilizer_advice,What fertilizer schedule is best for Sunflower?
planting_schedule,When does Niger mature after planting?
pest_disease_help,Symptoms of common diseases in Maize
planting_schedule,When does Coconut mature after planting?
fertilizer_advice,"Fertilizer recommendation for Castor given N=75, P=45, K=60"
fertilizer_advice,When to apply phosphorus for Maize?
irrigation_advice,How much water does Potato need per week?
planting_schedule,When should I plant Sugarcane in my region?
planting_schedule,What is the planting month for Groundnut?
irrigation_advice,Water requirement for Brinjal with rainfall 500mm
planting_schedule,When does Sugarcane mature after planting?
pest_disease_help,Symptoms of common diseases in Fennel
pest_disease_help,Best pesticide practice for Coriander
recommend_crop,Recommend a crop for pH 7.0 and temperature 22C
irrigation_advice,Irrigation schedule for Cassava in Year Round season
irrigation_advice,How much water does Tea need per week?
pest_disease_help,My Tobacco leaves are yellow — what could be wrong?
pest_disease_help,How to manage pests in Wheat fields?
planting_schedule,Optimal planting time for Jowar
planting_schedule,Planting and harvesting months for Jwar
recommend_crop,What crop should I grow if my soil pH is 6.0 and rainfall 1200mm?
fertilizer_advice,When to apply phosphorus for Niger?
recommend_crop,Suggest a crop for low nitrogen soils (N=35 kg/ha)
fertilizer_advice,When to apply phosphorus for Tea?
pest_disease_help,How to treat fungal infection in Castor?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 300mm?
pest_disease_help,How to manage pests in Groundnut fields?
irrigation_advice,Water requirement for Coffee with rainfall 1200mm
recommend_crop,Suggest a crop for low nitrogen soils (N=90 kg/ha)
planting_schedule,Planting and harvesting months for Turmeric
recommend_crop,Recommend a crop for pH 6.8 and temperature 30C
pest_disease_help,My Jute leaves are yellow — what could be wrong?
planting_schedule,Optimal planting time for Tur_Arhar
irrigation_advice,Best irrigation practice for Safflower
recommend_crop,Best crop for temperature 27C and humidity 65%
recommend_crop,Recommend a crop for pH 6.8 and temperature 28C
planting_schedule,When does Ginger mature after planting?
planting_schedule,What is the planting month for Sunflower?
planting_schedule,Planting and harvesting months for Coffee
pest_disease_help,Symptoms of common diseases in Okra
irrigation_advice,Water requirement for Sugarcane with rainfall 1200mm
fertilizer_advice,What fertilizer schedule is best for Brinjal?
recommend_crop,Recommend a crop for pH 6.5 and temperature 20C
pest_disease_help,Best pesticide practice for Linseed
irrigation_advice,Irrigation schedule for Tea in Year Round season
planting_schedule,When should I plant Tea in my region?
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 350mm?
recommend_crop,Suggest a crop for low nitrogen soils (N=30 kg/ha)
planting_schedule,Planting and harvesting months for Tomato
fertilizer_advice,When to apply phosphorus for Bajra?
pest_disease_help,How to treat fungal infection in Onion?
planting_schedule,What is the planting month for Rapeseed_Mustard?
pest_disease_help,How to treat fungal infection in Fennel?
recommend_crop,Best crop for temperature 30C and humidity 70%
pest_disease_help,Best pesticide practice for Jwar
pest_disease_help,Best pesticide practice for Cumin
irrigation_advice,Irrigation schedule for Ragi in Kharif season
fertilizer_advice,"Fertilizer recommendation for Rice given N=100, P=35, K=35"
irrigation_advice,Best irrigation practice for Castor
pest_disease_help,My Bajra leaves are yellow — what could be wrong?
pest_disease_help,My Rice leaves are yellow — what could be wrong?
irrigation_advice,Irrigation schedule for Gram in Rabi season
irrigation_advice,Water requirement for Niger with rainfall 600mm
pest_disease_help,My Fennel leaves are yellow — what could be wrong?
pest_disease_help,Symptoms of common diseases in Oats
irrigation_advice,Best irrigation practice for Sunflower
planting_schedule,When should I plant Okra in my region?
recommend_crop,Recommend a crop for pH 5.8 and temperature 20C
fertilizer_advice,Suggest fertilizer amounts for Carrot
pest_disease_help,Symptoms of common diseases in Turmeric
planting_schedule,When does Castor mature after planting?
recommend_crop,What crop should I grow if my soil pH is 7.0 and rainfall 300mm?
irrigation_advice,Best irrigation practice for Castor
planting_schedule,Planting and harvesting months for Castor
fertilizer_advice,How much nitrogen should I apply for Groundnut?
irrigation_advice,Water requirement for Sugarcane with rainfall 1200mm
pest_disease_help,Best pesticide practice for Tomato
irrigation_advice,Water requirement for Brinjal with rainfall 500mm
irrigation_advice,Best irrigation practice for Jwar
irrigation_advice,Best irrigation practice for Sunflower
recommend_crop,What crop should I grow if my soil pH is 5.5 and rainfall 1200mm?
fertilizer_advice,"Fertilizer recommendation for Ragi given N=60, P=30, K=30"
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 350mm?
fertilizer_advice,When to apply phosphorus for Coffee?
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
fertilizer_advice,Suggest fertilizer amounts for Jute
fertilizer_advice,When to apply phosphorus for Wheat?
planting_schedule,Planting and harvesting months for Turmeric
fertilizer_advice,Suggest fertilizer amounts for Oats
fertilizer_advice,When to apply phosphorus for Arecanut?
planting_schedule,When should I plant Sesamum in my region?
recommend_crop,Which crop suits my soil with pH 7.5 and rainfall 300mm?
planting_schedule,What is the planting month for Green_Peas?
recommend_crop,Best crop for temperature 20C and humidity 65%
pest_disease_help,Best pesticide practice for Groundnut
fertilizer_advice,"Fertilizer recommendation for Fennel given N=90, P=45, K=60"
pest_disease_help,How to manage pests in Black_Pepper fields?
irrigation_advice,Water requirement for Rapeseed_Mustard with rainfall 300mm
pest_disease_help,Best pesticide practice for Oats
fertilizer_advice,When to apply phosphorus for Black_Pepper?
recommend_crop,Suggest a crop for low nitrogen soils (N=225 kg/ha)
fertilizer_advice,"Fertilizer recommendation for Sesamum given N=45, P=30, K=35"
irrigation_advice,Best irrigation practice for Gram
planting_schedule,When does Carrot mature after planting?
recommend_crop,Best crop for temperature 20C and humidity 80%
pest_disease_help,Best pesticide practice for Barley
planting_schedule,Planting and harvesting months for Safflower
fertilizer_advice,When to apply phosphorus for Ragi?
irrigation_advice,Irrigation schedule for Bajra in Kharif season
pest_disease_help,How to manage pests in Tea fields?
pest_disease_help,How to manage pests in Barley fields?
recommend_crop,What crop should I grow if my soil pH is 7.5 and rainfall 300mm?
planting_schedule,When does Coconut mature after planting?
irrigation_advice,Water requirement for Coconut with rainfall 1200mm
planting_schedule,When should I plant Okra in my region?
fertilizer_advice,Suggest fertilizer amounts for Brinjal
pest_disease_help,Symptoms of common diseases in Bajra
fertilizer_advice,How much nitrogen should I apply for Brinjal?
planting_schedule,Optimal planting time for Jowar
pest_disease_help,How to treat fungal infection in Rice?
fertilizer_advice,How much nitrogen should I apply for Niger?
irrigation_advice,Water requirement for Gram with rainfall 300mm
planting_schedule,Optimal planting time for Maize
irrigation_advice,How much water does Sweet_Potato need per week?
fertilizer_advice,How much nitrogen should I apply for Brinjal?
fertilizer_advice,What fertilizer schedule is best for Castor?
fertilizer_advice,What fertilizer schedule is best for Oats?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 250mm?
pest_disease_help,Symptoms of common diseases in Cauliflower
irrigation_advice,Irrigation schedule for Cassava in Year Round season
pest_disease_help,Best pesticide practice for Ginger
pest_disease_help,How to manage pests in Sesamum fields?
recommend_crop,Suggest a crop for low nitrogen soils (N=60 kg/ha)
irrigation_advice,Best irrigation practice for Black_Pepper
recommend_crop,Recommend a crop for pH 6.0 and temperature 20C
pest_disease_help,Symptoms of common diseases in Gram
irrigation_advice,How much water does Niger need per week?
irrigation_advice,Water requirement for Cumin with rainfall 250mm
recommend_crop,Best crop for temperature 20C and humidity 60%
fertilizer_advice,Suggest fertilizer amounts for Cauliflower
pest_disease_help,How to treat fungal infection in Tur_Arhar?
planting_schedule,When does Cardamom mature after planting?
planting_schedule,Optimal planting time for Jute
recommend_crop,What crop should I grow if my soil pH is 7.0 and rainfall 350mm?
recommend_crop,Best crop for temperature 27C and humidity 90%
fertilizer_advice,Suggest fertilizer amounts for Jute
recommend_crop,What crop should I grow if my soil pH is 7.0 and rainfall 300mm?
fertilizer_advice,How much nitrogen should I apply for Wheat?
planting_schedule,When does Black_Pepper mature after planting?
planting_schedule,What is the planting month for Rice?
fertilizer_advice,What fertilizer schedule is best for Fennel?
recommend_crop,Suggest a crop for low nitrogen soils (N=90 kg/ha)
planting_schedule,When does Tobacco mature after planting?
planting_schedule,When should I plant Black_Pepper in my region?
irrigation_advice,Water requirement for Green_Peas with rainfall 300mm
planting_schedule,When should I plant Cassava in my region?
pest_disease_help,How to treat fungal infection in Fenugreek?
pest_disease_help,My Fenugreek leaves are yellow — what could be wrong?
irrigation_advice,Best irrigation practice for Safflower
pest_disease_help,Symptoms of common diseases in Wheat
recommend_crop,Best crop for temperature 20C and humidity 75%
irrigation_advice,Best irrigation practice for Onion
planting_schedule,Optimal planting time for Sweet_Potato
pest_disease_help,My Carrot leaves are yellow — what could be wrong?
pest_disease_help,Symptoms of common diseases in Okra
planting_schedule,When should I plant Ragi in my region?
fertilizer_advice,Suggest fertilizer amounts for Arecanut
pest_disease_help,Best pesticide practice for Gram
recommend_crop,Recommend a crop for pH 6.5 and temperature 24C
planting_schedule,What is the planting month for Rapeseed_Mustard?
irrigation_advice,Water requirement for Barley with rainfall 350mm
irrigation_advice,Best irrigation practice for Fenugreek
fertilizer_advice,"Fertilizer recommendation for Coffee given N=150, P=45, K=225"
pest_disease_help,Best pesticide practice for Cardamom
fertilizer_advice,"Fertilizer recommendation for Tea given N=225, P=60, K=150"
planting_schedule,What is the planting month for Arecanut?
pest_disease_help,My Bajra leaves are yellow — what could be wrong?
recommend_crop,Recommend a crop for pH 6.0 and temperature 20C
pest_disease_help,Symptoms of common diseases in Jute
pest_disease_help,Best pesticide practice for Turmeric
fertilizer_advice,How much nitrogen should I apply for Tobacco?
pest_disease_help,Best pesticide practice for Okra
fertilizer_advice,How much nitrogen should I apply for Ginger?
irrigation_advice,Water requirement for Sesamum with rainfall 400mm
irrigation_advice,Best irrigation practice for Fennel
irrigation_advice,Irrigation schedule for Tobacco in Rabi season
fertilizer_advice,What fertilizer schedule is best for Jowar?
irrigation_advice,How much water does Brinjal need per week?
fertilizer_advice,What fertilizer schedule is best for Linseed?
fertilizer_advice,When to apply phosphorus for Carrot?
fertilizer_advice,"Fertilizer recommendation for Sesamum given N=45, P=30, K=35"
irrigation_advice,Irrigation schedule for Jute in Kharif season
planting_schedule,What is the planting month for Jowar?
fertilizer_advice,What fertilizer schedule is best for Bajra?
pest_disease_help,My Cauliflower leaves are yellow — what could be wrong?
irrigation_advice,How often should I irrigate Fennel?
irrigation_advice,How often should I irrigate Arecanut?
irrigation_advice,Water requirement for Tobacco with rainfall 400mm
planting_schedule,When does Sweet_Potato mature after planting?
planting_schedule,What is the planting month for Potato?
fertilizer_advice,What fertilizer schedule is best for Fenugreek?
planting_schedule,When does Cumin mature after planting?
planting_schedule,When does Jute mature after planting?
fertilizer_advice,How much nitrogen should I apply for Ginger?
fertilizer_advice,Suggest fertilizer amounts for Cabbage
planting_schedule,When should I plant Cardamom in my region?
fertilizer_advice,"Fertilizer recommendation for Coriander given N=60, P=30, K=60"
planting_schedule,What is the planting month for Oats?
planting_schedule,When does Arecanut mature after planting?
irrigation_advice,How often should I irrigate Fenugreek?
planting_schedule,When does Cauliflower mature after planting?
irrigation_advice,Irrigation schedule for Oats in Rabi season
irrigation_advice,How much water does Bajra need per week?
planting_schedule,Planting and harvesting months for Cotton
fertilizer_advice,When to apply phosphorus for Tobacco?
irrigation_advice,How much water does Arecanut need per week?
pest_disease_help,Symptoms of common diseases in Safflower
recommend_crop,Recommend a crop for pH 6.0 and temperature 25C
planting_schedule,Planting and harvesting months for Ragi
recommend_crop,Recommend a crop for pH 6.5 and temperature 20C
fertilizer_advice,What fertilizer schedule is best for Gram?
planting_schedule,When does Coconut mature after planting?
pest_disease_help,How to treat fungal infection in Turmeric?
fertilizer_advice,Suggest fertilizer amounts for Turmeric
irrigation_advice,How much water does Cassava need per week?
recommend_crop,Suggest a crop for low nitrogen soils (N=150 kg/ha)
fertilizer_advice,What fertilizer schedule is best for Potato?
planting_schedule,Planting and harvesting months for Sesamum
fertilizer_advice,When to apply phosphorus for Sesamum?
fertilizer_advice,What fertilizer schedule is best for Cabbage?
recommend_crop,Recommend a crop for pH 6.8 and temperature 28C
recommend_crop,Best crop for temperature 27C and humidity 90%
fertilizer_advice,Suggest fertilizer amounts for Castor
planting_schedule,Optimal planting time for Fennel
planting_schedule,When should I plant Green_Peas in my region?
irrigation_advice,Best irrigation practice for Fenugreek
pest_disease_help,My Sunflower leaves are yellow — what could be wrong?
pest_disease_help,My Coconut leaves are yellow — what could be wrong?
irrigation_advice,Water requirement for Safflower with rainfall 300mm
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 1000mm?
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 500mm?
recommend_crop,Suggest a crop for low nitrogen soils (N=100 kg/ha)
planting_schedule,When does Cassava mature after planting?
irrigation_advice,Water requirement for Green_Peas with rainfall 300mm
irrigation_advice,Irrigation schedule for Niger in Kharif season
planting_schedule,Optimal planting time for Cotton
fertilizer_advice,Suggest fertilizer amounts for Rapeseed_Mustard
planting_schedule,When should I plant Arecanut in my region?
irrigation_advice,How often should I irrigate Wheat?
planting_schedule,What is the planting month for Oats?
fertilizer_advice,When to apply phosphorus for Jowar?
recommend_crop,Which crop suits my soil with pH 6.5 and rainfall 250mm?
recommend_crop,Recommend a crop for pH 7.0 and temperature 30C
fertilizer_advice,When to apply phosphorus for Wheat?
planting_schedule,Planting and harvesting months for Sweet_Potato
fertilizer_advice,How much nitrogen should I apply for Groundnut?
recommend_crop,Recommend a crop for pH 7.2 and temperature 18C
pest_disease_help,Best pesticide practice for Carrot
pest_disease_help,How to manage pests in Safflower fields?
pest_disease_help,How to treat fungal infection in Onion?
pest_disease_help,How to manage pests in Coffee fields?
recommend_crop,What crop should I grow if my soil pH is 6.2 and rainfall 1500mm?
fertilizer_advice,When to apply phosphorus for Bajra?
pest_disease_help,Best pesticide practice for Okra
pest_disease_help,My Sugarcane leaves are yellow — what could be wrong?
pest_disease_help,How to treat fungal infection in Safflower?
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 400mm?
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
recommend_crop,Suggest a crop for low nitrogen soils (N=225 kg/ha)
recommend_crop,Best crop for temperature 25C and humidity 90%
planting_schedule,Optimal planting time for Cauliflower
planting_schedule,Optimal planting time for Fenugreek
pest_disease_help,Best pesticide practice for Sesamum
fertilizer_advice,When to apply phosphorus for Cotton?
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 300mm?
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
pest_disease_help,How to treat fungal infection in Tur_Arhar?
irrigation_advice,How often should I irrigate Onion?
recommend_crop,Suggest a crop for low nitrogen soils (N=60 kg/ha)
planting_schedule,When does Tomato mature after planting?
recommend_crop,Which crop suits my soil with pH 6.0 and rainfall 400mm?
planting_schedule,Planting and harvesting months for Fennel
planting_schedule,Optimal planting time for Tea
recommend_crop,Which crop suits my soil with pH 6.8 and rainfall 300mm?
planting_schedule,When should I plant Wheat in my region?
pest_disease_help,How to manage pests in Maize fields?
recommend_crop,Suggest a crop for low nitrogen soils (N=125 kg/ha)
recommend_crop,What crop should I grow if my soil pH is 6.2 and rainfall 1000mm?
pest_disease_help,My Rapeseed_Mustard leaves are yellow — what could be wrong?
irrigation_advice,Best irrigation practice for Safflower
recommend_crop,Suggest a crop for low nitrogen soils (N=80 kg/ha)
fertilizer_advice,Suggest fertilizer amounts for Groundnut
recommend_crop,Recommend a crop for pH 6.8 and temperature 20C
fertilizer_advice,"Fertilizer recommendation for Potato given N=150, P=75, K=150"
recommend_crop,Suggest a crop for low nitrogen soils (N=150 kg/ha)
recommend_crop,Best crop for temperature 18C and humidity 75%
pest_disease_help,My Coriander leaves are yellow — what could be wrong?
irrigation_advice,How much water does Barley need per week?
irrigation_advice,How often should I irrigate Black_Pepper?
fertilizer_advice,When to apply phosphorus for Potato?
irrigation_advice,How often should I irrigate Tur_Arhar?
planting_schedule,Optimal planting time for Cumin
irrigation_advice,How often should I irrigate Okra?
recommend_crop,Recommend a crop for pH 6.5 and temperature 28C
irrigation_advice,Best irrigation practice for Oats
fertilizer_advice,"Fertilizer recommendation for Safflower given N=80, P=45, K=45"
pest_disease_help,How to manage pests in Groundnut fields?
pest_disease_help,My Black_Pepper leaves are yellow — what could be wrong?
fertilizer_advice,Suggest fertilizer amounts for Green_Peas
fertilizer_advice,What fertilizer schedule is best for Ginger?
pest_disease_help,Best pesticide practice for Brinjal
pest_disease_help,My Cabbage leaves are yellow — what could be wrong?
irrigation_advice,Irrigation schedule for Jwar in Kharif season
recommend_crop,Suggest a crop for low nitrogen soils (N=100 kg/ha)
recommend_crop,What crop should I grow if my soil pH is 6.5 and rainfall 400mm?
fertilizer_advice,What fertilizer schedule is best for Niger?
fertilizer_advice,What fertilizer schedule is best for Coriander?
recommend_crop,Recommend a crop for pH 6.2 and temperature 30C
fertilizer_advice,What fertilizer schedule is best for Coconut?
fertilizer_advice,"Fertilizer recommendation for Tobacco given N=115, P=60, K=115"
recommend_crop,Best crop for temperature 30C and humidity 60%
fertilizer_advice,Suggest fertilizer amounts for Sweet_Potato
irrigation_advice,Best irrigation practice for Green_Peas
recommend_crop,Suggest a crop for low nitrogen soils (N=60 kg/ha)
fertilizer_advice,How much nitrogen should I apply for Wheat?
planting_schedule,When should I plant Coconut in my region?
planting_schedule,When does Sunflower mature after planting?
planting_schedule,When should I plant Ginger in my region?
planting_schedule,What is the planting month for Ginger?
pest_disease_help,How to treat fungal infection in Ginger?
irrigation_advice,Best irrigation practice for Jute
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 600mm?
irrigation_advice,How often should I irrigate Coffee?
irrigation_advice,How often should I irrigate Black_Pepper?
planting_schedule,When should I plant Cotton in my region?
pest_disease_help,Symptoms of common diseases in Gram
irrigation_advice,How much water does Jowar need per week?
irrigation_advice,How often should I irrigate Maize?
pest_disease_help,Best pesticide practice for Jowar
irrigation_advice,Best irrigation practice for Turmeric
fertilizer_advice,How much nitrogen should I apply for Green_Peas?
pest_disease_help,Symptoms of common diseases in Sugarcane
planting_schedule,Planting and harvesting months for Rice
pest_disease_help,Best pesticide practice for Black_Pepper
planting_schedule,When does Cotton mature after planting?
planting_schedule,Planting and harvesting months for Wheat
fertilizer_advice,What fertilizer schedule is best for Okra?
pest_disease_help,Best pesticide practice for Sweet_Potato
pest_disease_help,How to treat fungal infection in Tea?
irrigation_advice,How much water does Carrot need per week?
irrigation_advice,Irrigation schedule for Turmeric in Kharif season
irrigation_advice,Irrigation schedule for Sesamum in Kharif season
planting_schedule,When does Sesamum mature after planting?
planting_schedule,When should I plant Sugarcane in my region?
fertilizer_advice,Suggest fertilizer amounts for Cotton
pest_disease_help,Best pesticide practice for Sweet_Potato
fertilizer_advice,Suggest fertilizer amounts for Okra
fertilizer_advice,"Fertilizer recommendation for Cassava given N=60, P=30, K=90"
recommend_crop,Which crop suits my soil with pH 7.0 and rainfall 400mm?
planting_schedule,When does Niger mature after planting?
recommend_crop,Recommend a crop for pH 7.5 and temperature 30C
irrigation_advice,Irrigation schedule for Cauliflower in Rabi season
fertilizer_advice,What fertilizer schedule is best for Ragi?
fertilizer_advice,"Fertilizer recommendation for Onion given N=125, P=60, K=120"
fertilizer_advice,When to apply phosphorus for Jowar?
recommend_crop,Best crop for temperature 28C and humidity 70%
planting_schedule,Planting and harvesting months for Niger
pest_disease_help,How to treat fungal infection in Groundnut?
planting_schedule,When should I plant Green_Peas in my region?
irrigation_advice,Water requirement for Groundnut with rainfall 500mm
pest_disease_help,How to manage pests in Rapeseed_Mustard fields?
irrigation_advice,Irrigation schedule for Jowar in Kharif season
pest_disease_help,Symptoms of common diseases in Fenugreek
pest_disease_help,My Safflower leaves are yellow — what could be wrong?
fertilizer_advice,What fertilizer schedule is best for Okra?
pest_disease_help,Best pesticide practice for Green_Peas
pest_disease_help,Symptoms of common diseases in Linseed
irrigation_advice,How much water does Tobacco need per week?
fertilizer_advice,"Fertilizer recommendation for Carrot given N=100, P=60, K=90"
pest_disease_help,Best pesticide practice for Carrot
fertilizer_advice,When to apply phosphorus for Cumin?
pest_disease_help,Best pesticide practice for Turmeric
pest_disease_help,Best pesticide practice for Rapeseed_Mustard
planting_schedule,When does Green_Peas mature after planting?
recommend_crop,Best crop for temperature 25C and humidity 70%
fertilizer_advice,"Fertilizer recommendation for Coconut given N=150, P=45, K=210"
irrigation_advice,Water requirement for Okra with rainfall 400mm
irrigation_advice,How often should I irrigate Turmeric?
fertilizer_advice,Suggest fertilizer amounts for Oats
recommend_crop,Recommend a crop for pH 6.8 and temperature 24C
recommend_crop,Suggest a crop for low nitrogen soils (N=45 kg/ha)
pest_disease_help,Symptoms of common diseases in Tobacco
fertilizer_advice,How much nitrogen should I apply for Safflower?
recommend_crop,Best crop for temperature 28C and humidity 90%
recommend_crop,What crop should I grow if my soil pH is 5.8 and rainfall 1000mm?
recommend_crop,Suggest a crop for low nitrogen soils (N=160 kg/ha)
irrigation_advice,How much water does Cabbage need per week?
fertilizer_advice,Suggest fertilizer amounts for Bajra
planting_schedule,Optimal planting time for Sunflower
recommend_crop,Suggest a crop for low nitrogen soils (N=225 kg/ha)
planting_schedule,When should I plant Jowar in my region?
irrigation_advice,How often should I irrigate Cabbage?
pest_disease_help,Best pesticide practice for Onion
planting_schedule,What is the planting month for Bajra?
planting_schedule,When does Sunflower mature after planting?
irrigation_advice,Irrigation schedule for Jwar in Kharif season
planting_schedule,When should I plant Potato in my region?
planting_schedule,When should I plant Coffee in my region?
