N,P,K,temperature,humidity,ph,rainfall,soil_type,state,season,label
68.16,44.38,47.94,33.58,40.92,6.12,220.15,Alluvial,Rajasthan,Summer,Muskmelon
65.55,38.45,50.73,37.27,49.68,6.63,537.39,Black Soil,Maharashtra,Perennial,Pomegranate
40.88,41.38,44.98,27.76,43.96,7.07,582.96,Black Soil,Karnataka,Perennial,Pomegranate
92.46,56.82,205.68,26.57,72.72,5.7,1378.88,Loamy,Karnataka,Perennial,Coconut
59.06,30.99,33.46,22.59,61.91,6.21,364.11,Loamy,Maharashtra,Summer,Muskmelon
205.35,55.46,162.73,17.92,70.75,5.94,2036.71,Loamy,Tamil Nadu,Perennial,Coffee
213.28,122.82,291.67,29.6,82.06,6.9,1818.02,Sandy Loam,Gujarat,Perennial,Papaya
78.76,47.24,55.84,14.0,74.5,6.51,997.61,Mountain Soil,Uttarakhand,Perennial,Apple
192.32,49.18,292.22,27.81,78.57,6.19,2093.9,Loamy,Gujarat,Perennial,Banana
20.02,44.73,12.78,25.64,66.95,6.28,470.12,Red Soil,Maharashtra,Kharif,Pigeonpeas
27.06,50.18,24.79,20.03,47.69,6.82,100.64,Alluvial,Bihar,Rabi,Lentil
78.66,39.04,89.11,33.53,58.81,5.76,1040.36,Loamy,Maharashtra,Perennial,Mango
14.62,60.65,18.49,21.81,52.88,7.08,440.92,Sandy Loam,Karnataka,Rabi,Chickpea
13.42,42.8,18.45,34.3,30.62,7.2,240.87,Sandy,Rajasthan,Kharif,Mothbeans
71.72,27.06,37.61,30.19,99.81,6.83,1633.54,Alluvial,Odisha,Kharif,Jute
94.88,53.4,45.85,35.2,52.41,6.23,435.77,Sandy Loam,Tamil Nadu,Summer,Watermelon
25.86,52.79,28.98,37.33,52.9,5.92,710.84,Black Soil,Madhya Pradesh,Kharif,Pigeonpeas
88.59,45.95,37.34,24.73,58.85,5.87,1334.68,Clayey,Tamil Nadu,Kharif,Rice
60.03,31.13,64.31,28.19,42.79,8.04,332.23,Alluvial,Punjab,Summer,Muskmelon
54.89,46.12,46.31,31.28,79.22,5.94,1154.11,Loamy,West Bengal,Kharif,Jute
13.82,25.43,18.47,40.7,30.38,7.25,209.74,Sandy,Gujarat,Kharif,Mothbeans
133.07,33.35,72.22,25.84,45.64,6.93,1063.14,Black Soil,Maharashtra,Perennial,Grapes
30.12,35.47,18.65,16.5,63.21,6.65,307.98,Loamy,Uttar Pradesh,Rabi,Lentil
56.48,43.6,43.83,30.32,46.77,7.76,369.77,Sandy Loam,Punjab,Summer,Muskmelon
74.59,49.23,45.69,19.14,96.12,6.35,779.49,Mountain Soil,Uttarakhand,Perennial,Apple
14.14,43.78,19.06,23.25,50.79,6.82,382.74,Loamy,Uttar Pradesh,Rabi,Lentil
162.14,201.03,334.22,32.2,84.44,6.34,1989.11,Sandy Loam,Karnataka,Perennial,Papaya
78.63,68.64,138.56,25.05,51.93,5.78,472.61,Black Soil,Maharashtra,Perennial,Grapes
85.99,40.75,98.01,19.99,58.86,5.89,1021.29,Loamy,Jammu Kashmir,Perennial,Apple
108.86,60.77,122.87,24.93,49.07,6.77,916.67,Loamy,Karnataka,Perennial,Mango
77.12,31.81,55.67,30.4,59.81,6.9,535.97,Loamy,Karnataka,Summer,Watermelon
123.83,39.59,115.5,23.52,72.22,5.78,1883.3,Laterite,Tamil Nadu,Perennial,Coffee
93.94,64.42,29.59,19.95,70.39,5.96,823.91,Loamy,Madhya Pradesh,Rabi,Maize
58.21,41.31,97.57,19.27,78.18,6.12,553.85,Mountain Soil,Uttarakhand,Perennial,Apple
157.11,36.04,50.81,26.03,71.27,6.41,841.84,Alluvial,Rajasthan,Kharif,Maize
113.87,71.68,193.47,29.24,90.69,5.58,1699.95,Laterite,Karnataka,Perennial,Coconut
58.96,41.49,33.49,27.59,78.24,6.35,1778.71,Alluvial,Assam,Kharif,Jute
102.94,40.82,136.8,28.31,46.35,7.24,602.36,Sandy Loam,Andhra Pradesh,Perennial,Grapes
14.05,62.18,20.34,20.66,59.07,6.27,443.3,Loamy,West Bengal,Rabi,Lentil
79.47,39.36,25.21,25.42,85.44,6.02,1614.73,Alluvial,Andhra Pradesh,Kharif,Rice
175.66,50.28,172.89,25.43,58.46,5.34,1437.38,Forest Soil,Kerala,Perennial,Coffee
88.86,53.05,55.29,33.36,57.65,6.27,481.55,Loamy,Karnataka,Summer,Watermelon
61.24,36.23,32.59,30.29,78.52,6.7,1082.23,Alluvial,Bihar,Kharif,Jute
17.13,41.25,21.35,17.24,45.33,6.16,403.68,Sandy Loam,Bihar,Rabi,Lentil
57.18,37.52,59.34,28.8,39.81,7.54,520.47,Sandy Loam,Gujarat,Perennial,Pomegranate
64.32,26.17,37.3,27.53,80.54,6.94,1225.06,Alluvial,West Bengal,Kharif,Jute
16.9,63.14,24.36,36.59,41.37,7.67,285.74,Arid,Gujarat,Kharif,Mothbeans
60.08,30.42,32.54,34.69,75.64,5.08,1067.41,Alluvial,West Bengal,Kharif,Jute
176.26,45.58,198.52,20.25,60.5,4.84,1791.44,Laterite,Tamil Nadu,Perennial,Coffee
106.57,50.83,197.71,35.07,88.58,5.85,1788.21,Laterite,Karnataka,Perennial,Coconut
63.7,30.97,62.87,30.59,50.39,5.8,456.05,Sandy Loam,Karnataka,Summer,Watermelon
84.28,21.71,73.66,38.11,62.5,6.13,521.43,Laterite,Karnataka,Perennial,Mango
111.97,47.11,50.82,24.64,77.3,6.14,814.69,Loamy,Andhra Pradesh,Kharif,Rice
93.7,45.21,133.48,25.61,47.83,6.29,1129.71,Loamy,Rajasthan,Perennial,Orange
114.8,64.24,59.78,33.99,71.64,6.88,852.8,Laterite,Karnataka,Perennial,Mango
21.73,49.6,20.44,20.65,38.63,7.28,474.11,Black Soil,Madhya Pradesh,Rabi,Chickpea
124.95,42.64,157.5,19.03,53.46,5.29,1112.76,Laterite,Kerala,Perennial,Coffee
47.37,39.46,249.45,29.74,87.75,5.69,1501.63,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
19.83,50.34,28.36,28.93,57.8,6.85,499.5,Black Soil,Gujarat,Kharif,Pigeonpeas
24.27,40.18,26.45,21.24,35.33,6.17,331.63,Loamy,West Bengal,Rabi,Lentil
93.55,50.79,79.57,15.02,62.93,5.53,1405.22,Loamy,Himachal Pradesh,Perennial,Apple
36.34,22.94,38.97,29.42,90.33,6.37,1370.82,Clayey,Assam,Kharif,Jute
11.24,39.98,23.83,36.38,40.06,7.11,323.88,Sandy,Maharashtra,Kharif,Mothbeans
20.55,37.32,20.35,25.2,41.78,7.23,359.31,Loamy,Madhya Pradesh,Rabi,Chickpea
6.92,30.52,19.83,32.79,21.83,7.35,335.27,Arid,Maharashtra,Kharif,Mothbeans
20.02,54.02,21.37,23.08,58.92,6.4,1074.83,Black Soil,Maharashtra,Kharif,Blackgram
90.43,39.06,26.05,28.61,49.77,7.04,498.37,Black Soil,Maharashtra,Kharif,Cotton
124.37,31.84,113.79,22.0,74.07,6.38,1026.1,Loamy,Rajasthan,Perennial,Orange
20.66,46.57,23.72,29.78,45.16,6.86,426.98,Loamy,Karnataka,Rabi,Chickpea
21.24,49.23,20.48,27.44,47.03,6.94,234.01,Loamy,Karnataka,Rabi,Chickpea
83.33,37.86,138.59,24.77,66.84,6.61,711.09,Sandy Loam,Tamil Nadu,Perennial,Grapes
20.9,20.34,22.74,18.04,46.64,5.58,906.95,Sandy Loam,Himachal Pradesh,Kharif,Kidneybeans
129.78,47.47,146.55,29.1,56.42,5.59,1113.84,Loamy,Maharashtra,Perennial,Orange
121.09,49.35,52.44,27.42,44.37,6.32,941.53,Black Soil,Gujarat,Kharif,Cotton
100.37,44.76,93.92,29.4,46.18,6.43,600.4,Sandy Loam,Karnataka,Perennial,Grapes
76.97,30.01,31.9,29.57,54.43,5.99,423.1,Loamy,Madhya Pradesh,Rabi,Maize
95.89,28.72,50.58,25.82,47.89,6.56,214.04,Sandy Loam,Maharashtra,Summer,Muskmelon
213.83,58.94,165.43,28.28,80.09,6.78,2110.53,Alluvial,Andhra Pradesh,Perennial,Banana
102.93,49.82,125.76,39.36,48.14,5.56,1050.78,Alluvial,Andhra Pradesh,Perennial,Mango
98.39,45.21,28.52,30.19,55.48,7.75,556.58,Black Soil,Andhra Pradesh,Perennial,Pomegranate
21.13,53.9,13.28,30.84,72.7,5.75,616.91,Alluvial,Karnataka,Summer,Mungbean
26.81,46.72,26.26,34.33,75.71,5.94,464.32,Loamy,Tamil Nadu,Kharif,Blackgram
14.0,45.75,26.9,39.8,33.91,7.49,227.28,Arid,Maharashtra,Kharif,Mothbeans
201.18,169.8,491.56,30.3,69.04,6.9,1812.05,Alluvial,Andhra Pradesh,Perennial,Papaya
22.78,54.97,18.58,10.36,31.67,6.84,251.79,Black Soil,Rajasthan,Rabi,Chickpea
176.17,45.96,190.65,16.81,66.35,6.14,1848.38,Forest Soil,Tamil Nadu,Perennial,Coffee
21.15,37.96,17.5,18.26,42.82,7.13,354.05,Sandy Loam,Uttar Pradesh,Rabi,Lentil
73.99,54.43,95.54,31.21,55.34,5.09,911.08,Alluvial,Andhra Pradesh,Perennial,Mango
152.64,68.12,45.92,29.25,41.83,6.37,737.24,Loamy,Madhya Pradesh,Kharif,Maize
114.53,55.89,126.14,29.65,56.15,6.65,1369.3,Loamy,Uttar Pradesh,Perennial,Mango
52.39,47.53,51.41,18.36,73.32,6.49,1607.6,Loamy,Uttarakhand,Perennial,Apple
59.04,54.19,110.78,19.83,55.97,6.69,466.94,Sandy Loam,Maharashtra,Perennial,Grapes
72.93,29.55,63.38,25.51,55.41,6.66,648.07,Sandy Loam,Karnataka,Perennial,Pomegranate
87.6,30.64,50.27,29.32,47.94,5.5,482.06,Loamy,Rajasthan,Summer,Muskmelon
16.28,46.81,30.03,30.14,82.82,6.83,644.88,Black Soil,Maharashtra,Kharif,Blackgram
97.51,50.81,93.19,28.54,60.49,5.8,1638.28,Loamy,Madhya Pradesh,Perennial,Orange
129.93,45.17,193.31,26.03,82.25,5.53,2201.27,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
23.37,48.77,33.03,22.9,79.95,6.0,746.49,Sandy Loam,Jammu Kashmir,Kharif,Kidneybeans
123.23,55.03,34.11,26.77,83.62,6.01,1301.23,Loamy,Madhya Pradesh,Perennial,Orange
75.9,60.02,40.73,31.26,77.29,6.22,636.39,Alluvial,Tamil Nadu,Summer,Watermelon
77.87,43.73,94.01,21.22,59.14,5.72,876.45,Alluvial,Jammu Kashmir,Perennial,Apple
75.88,22.45,61.02,36.4,54.06,6.71,361.97,Sandy Loam,Andhra Pradesh,Perennial,Pomegranate
16.2,46.64,13.45,21.96,54.52,5.7,372.98,Alluvial,Bihar,Rabi,Lentil
15.07,44.18,18.63,31.79,73.9,6.0,689.29,Loamy,Uttar Pradesh,Kharif,Blackgram
24.11,74.84,22.11,22.65,52.0,5.47,690.11,Loamy,Uttarakhand,Kharif,Kidneybeans
112.78,61.38,88.96,25.65,62.18,6.41,1402.55,Laterite,Andhra Pradesh,Perennial,Mango
21.51,37.28,26.12,24.13,49.37,6.37,437.31,Loamy,Rajasthan,Rabi,Chickpea
56.39,39.8,92.4,18.95,74.8,5.56,1139.2,Loamy,Uttarakhand,Perennial,Apple
80.83,43.03,45.58,34.13,51.0,7.46,429.48,Sandy Loam,Punjab,Summer,Muskmelon
84.0,60.75,173.54,26.28,87.81,5.98,2023.39,Laterite,Andhra Pradesh,Perennial,Coconut
20.55,43.56,25.24,31.69,65.1,6.65,331.03,Loamy,Karnataka,Kharif,Mungbean
17.34,54.78,35.42,17.6,56.33,6.37,773.12,Alluvial,Himachal Pradesh,Kharif,Kidneybeans
136.67,183.63,391.72,29.47,79.17,7.76,1292.69,Loamy,Maharashtra,Perennial,Papaya
84.35,37.17,65.39,25.49,85.4,6.48,1298.29,Alluvial,West Bengal,Kharif,Rice
16.93,49.6,21.82,32.08,63.37,6.87,466.08,Loamy,Rajasthan,Kharif,Mungbean
24.83,36.6,26.28,30.66,60.55,7.46,511.66,Red Soil,Gujarat,Kharif,Pigeonpeas
79.12,51.21,78.98,31.95,52.4,6.63,287.52,Sandy Loam,Karnataka,Summer,Watermelon
20.42,49.32,17.23,33.01,64.89,6.25,324.3,Loamy,Madhya Pradesh,Kharif,Blackgram
74.02,40.72,24.84,34.92,79.44,5.91,1619.2,Loamy,Assam,Kharif,Jute
20.98,39.83,21.69,28.39,76.31,6.14,365.22,Alluvial,Andhra Pradesh,Summer,Mungbean
20.95,62.92,15.6,20.11,52.16,6.4,276.23,Alluvial,Uttarakhand,Kharif,Kidneybeans
20.67,35.89,17.44,21.29,57.31,6.59,331.34,Black Soil,Karnataka,Rabi,Chickpea
66.07,37.12,56.43,31.97,45.08,6.34,632.9,Black Soil,Gujarat,Perennial,Pomegranate
66.92,45.71,48.1,20.83,70.39,4.5,1748.87,Loamy,Punjab,Kharif,Rice
23.05,47.39,20.64,24.79,46.7,6.99,464.37,Black Soil,Karnataka,Rabi,Chickpea
74.1,39.96,60.37,41.93,35.01,6.31,574.2,Red Soil,Karnataka,Perennial,Pomegranate
124.74,69.67,52.45,34.83,58.31,5.96,529.91,Alluvial,Andhra Pradesh,Kharif,Cotton
16.87,48.01,22.14,30.16,76.02,6.87,538.35,Loamy,Uttar Pradesh,Kharif,Blackgram
62.12,28.24,40.6,25.67,26.32,7.39,489.6,Red Soil,Andhra Pradesh,Perennial,Pomegranate
90.28,49.33,38.95,26.33,92.04,6.21,911.47,Alluvial,Tamil Nadu,Kharif,Rice
176.52,46.17,217.45,24.73,82.93,5.83,2254.38,Forest Soil,Karnataka,Perennial,Coffee
66.17,40.09,50.53,21.51,53.47,7.12,633.19,Black Soil,Maharashtra,Perennial,Pomegranate
172.89,60.45,157.7,24.79,85.26,5.3,1479.67,Loamy,Karnataka,Perennial,Coffee
117.8,53.55,227.17,26.77,100.0,6.14,1754.63,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
108.19,48.45,38.16,30.5,93.43,5.97,983.17,Alluvial,Andhra Pradesh,Kharif,Rice
99.42,59.52,37.43,25.49,51.77,6.92,717.86,Alluvial,Andhra Pradesh,Kharif,Cotton
88.24,72.12,148.37,25.8,52.41,5.82,177.48,Red Soil,Tamil Nadu,Perennial,Grapes
42.34,42.06,66.05,34.95,60.79,6.18,511.63,Alluvial,Karnataka,Summer,Watermelon
60.48,30.8,30.89,22.75,91.34,5.67,1283.05,Alluvial,Assam,Kharif,Jute
154.32,66.59,289.83,28.7,87.25,7.07,1430.21,Loamy,Maharashtra,Perennial,Banana
73.54,36.8,48.39,34.62,47.15,6.97,312.04,Black Soil,Gujarat,Perennial,Pomegranate
69.4,35.47,51.4,25.79,84.4,6.39,1570.78,Clayey,Andhra Pradesh,Kharif,Rice
83.27,61.63,324.33,27.24,75.29,5.94,2194.88,Clayey,Andhra Pradesh,Perennial,Banana
22.66,30.48,18.62,27.73,57.49,6.32,658.45,Sandy Loam,Karnataka,Summer,Mungbean
133.0,52.93,130.17,23.44,61.13,5.93,1031.04,Loamy,Punjab,Perennial,Orange
102.84,38.63,56.37,34.8,42.07,7.11,645.86,Alluvial,Maharashtra,Kharif,Cotton
81.69,49.38,47.49,35.1,42.07,6.23,550.13,Alluvial,Tamil Nadu,Summer,Watermelon
72.39,29.36,49.65,20.52,48.35,6.21,313.45,Sandy Loam,Uttar Pradesh,Summer,Muskmelon
120.18,52.05,201.54,24.7,68.78,5.49,2216.62,Laterite,Tamil Nadu,Perennial,Coffee
63.38,23.02,31.53,25.44,78.15,6.16,1616.67,Alluvial,Bihar,Kharif,Jute
97.69,42.63,66.84,24.17,40.76,5.96,451.31,Red Soil,Andhra Pradesh,Perennial,Grapes
11.75,36.66,18.7,28.27,64.81,6.1,552.47,Loamy,Karnataka,Kharif,Mungbean
80.46,49.68,94.59,27.93,68.87,5.34,1335.02,Loamy,Maharashtra,Perennial,Mango
254.39,96.13,311.89,27.01,77.78,6.44,2366.55,Loamy,Maharashtra,Perennial,Banana
47.67,33.46,73.51,17.62,66.59,6.4,999.76,Alluvial,Jammu Kashmir,Perennial,Apple
36.82,39.21,37.76,28.41,63.59,7.34,692.8,Alluvial,Maharashtra,Kharif,Cotton
67.43,22.73,41.83,28.16,50.37,6.43,250.84,Alluvial,Rajasthan,Summer,Muskmelon
108.18,50.06,88.19,32.87,72.81,6.79,651.05,Loamy,Punjab,Perennial,Orange
70.59,72.98,123.74,18.13,41.03,6.8,689.11,Black Soil,Maharashtra,Perennial,Grapes
29.4,36.97,62.24,32.14,43.97,6.01,504.0,Sandy Loam,Karnataka,Perennial,Pomegranate
19.84,21.01,24.82,30.89,91.47,6.16,660.42,Alluvial,Andhra Pradesh,Kharif,Mungbean
85.41,53.42,60.23,32.13,86.62,7.01,528.89,Red Soil,Gujarat,Kharif,Cotton
13.24,51.13,17.39,21.11,31.57,6.96,624.93,Loamy,Rajasthan,Rabi,Chickpea
15.52,57.44,10.74,21.41,34.38,6.66,272.25,Sandy Loam,West Bengal,Rabi,Lentil
206.89,122.11,348.92,29.29,94.59,6.86,1989.26,Alluvial,Gujarat,Perennial,Papaya
177.1,230.08,359.06,30.49,80.75,6.54,1142.04,Sandy Loam,Andhra Pradesh,Perennial,Papaya
29.73,44.85,28.73,34.09,48.25,6.69,459.6,Loamy,Karnataka,Kharif,Pigeonpeas
20.63,33.98,14.45,28.62,65.62,6.85,502.68,Sandy Loam,Rajasthan,Summer,Mungbean
15.82,50.61,18.81,25.68,67.45,6.67,505.62,Alluvial,Madhya Pradesh,Kharif,Blackgram
112.37,30.95,47.83,28.85,65.46,6.92,689.19,Sandy Loam,Maharashtra,Summer,Watermelon
19.12,49.03,16.38,20.05,40.24,6.0,377.26,Sandy Loam,Bihar,Rabi,Lentil
85.47,26.96,52.34,26.53,50.66,6.72,366.55,Black Soil,Gujarat,Perennial,Pomegranate
71.44,21.2,48.19,33.82,57.71,5.91,764.04,Black Soil,Karnataka,Perennial,Pomegranate
40.85,25.94,29.22,29.12,92.51,6.6,1307.66,Alluvial,Assam,Kharif,Jute
62.73,48.83,32.11,37.27,66.66,6.83,337.78,Alluvial,Punjab,Summer,Muskmelon
78.18,51.41,60.9,28.39,60.36,5.22,1090.22,Loamy,Punjab,Perennial,Orange
42.32,23.71,107.37,16.37,84.72,5.89,1158.11,Mountain Soil,Himachal Pradesh,Perennial,Apple
67.15,47.15,43.78,30.25,56.83,6.27,423.81,Sandy Loam,Andhra Pradesh,Summer,Watermelon
8.0,41.27,31.27,27.74,36.25,6.84,442.54,Sandy,Gujarat,Kharif,Mothbeans
15.92,61.37,26.58,26.44,75.12,6.22,677.15,Black Soil,Uttar Pradesh,Kharif,Blackgram
116.14,42.78,208.21,22.65,84.76,6.47,2074.57,Laterite,Kerala,Perennial,Coconut
88.23,73.4,53.53,25.69,69.01,6.6,1081.54,Alluvial,Uttar Pradesh,Perennial,Mango
102.5,39.06,109.25,35.45,64.03,5.7,1458.64,Alluvial,Maharashtra,Perennial,Mango
78.73,37.13,252.67,25.96,68.67,5.46,1911.55,Coastal Sandy,Karnataka,Perennial,Coconut
86.77,57.31,54.54,22.67,53.28,7.33,976.56,Black Soil,Maharashtra,Kharif,Cotton
31.76,31.64,31.51,31.47,52.46,6.42,371.4,Red Soil,Madhya Pradesh,Kharif,Pigeonpeas
23.09,32.79,19.89,26.68,46.79,6.98,190.35,Black Soil,Karnataka,Rabi,Chickpea
96.4,78.65,102.38,23.7,53.95,6.58,606.3,Red Soil,Andhra Pradesh,Perennial,Grapes
91.94,42.41,97.6,27.83,77.01,4.63,1143.18,Laterite,Uttar Pradesh,Perennial,Mango
80.08,37.13,66.58,26.08,35.15,6.9,979.25,Alluvial,Gujarat,Kharif,Cotton
19.08,24.58,24.22,30.55,38.51,7.18,320.05,Sandy,Rajasthan,Kharif,Mothbeans
10.17,46.58,20.75,28.94,37.52,7.17,249.18,Sandy,Maharashtra,Kharif,Mothbeans
69.96,27.79,37.76,24.0,82.35,6.09,1667.49,Alluvial,West Bengal,Kharif,Rice
27.14,65.8,18.5,23.62,52.61,6.31,526.25,Loamy,Jammu Kashmir,Kharif,Kidneybeans
127.81,62.28,56.76,29.54,43.29,5.96,902.68,Alluvial,Maharashtra,Perennial,Orange
84.81,40.1,52.42,32.7,51.96,6.87,557.07,Sandy Loam,Andhra Pradesh,Summer,Watermelon
19.27,44.73,21.2,19.67,59.29,6.37,446.03,Sandy Loam,Uttar Pradesh,Rabi,Lentil
125.71,68.43,88.39,26.49,51.71,7.0,1529.21,Sandy Loam,Punjab,Perennial,Orange
126.59,32.97,92.84,17.4,61.98,6.22,825.55,Loamy,Rajasthan,Perennial,Orange
72.39,36.88,180.02,23.95,99.24,5.81,1708.02,Loamy,Karnataka,Perennial,Coconut
53.51,49.64,58.55,24.66,50.12,7.16,731.46,Alluvial,Andhra Pradesh,Kharif,Cotton
23.43,52.35,8.1,29.67,54.51,7.15,837.79,Black Soil,Maharashtra,Kharif,Pigeonpeas
25.88,34.1,19.67,21.15,61.11,6.77,268.32,Sandy Loam,Uttar Pradesh,Rabi,Lentil
38.69,42.17,62.35,30.63,48.26,6.3,578.28,Red Soil,Gujarat,Perennial,Pomegranate
18.14,63.42,19.24,26.98,70.1,6.33,420.47,Black Soil,Karnataka,Kharif,Pigeonpeas
83.09,33.08,45.47,40.01,78.91,6.91,562.27,Sandy Loam,Maharashtra,Summer,Watermelon
44.08,23.53,39.25,32.28,89.28,5.93,1976.0,Alluvial,Odisha,Kharif,Jute
113.24,53.2,53.13,28.28,67.9,7.08,397.5,Sandy Loam,Rajasthan,Kharif,Maize
203.64,208.65,475.17,33.67,71.6,7.03,1138.32,Sandy Loam,Maharashtra,Perennial,Papaya
69.29,51.67,103.61,30.47,67.98,5.61,859.1,Sandy Loam,Rajasthan,Perennial,Orange
111.72,58.88,45.99,20.68,68.63,6.06,296.1,Sandy Loam,Bihar,Kharif,Maize
89.2,42.75,187.93,18.87,69.49,5.38,878.27,Forest Soil,Tamil Nadu,Perennial,Coffee
102.88,57.59,48.32,19.62,84.31,5.87,857.4,Clayey,Tamil Nadu,Kharif,Rice
143.95,186.68,242.01,27.51,76.25,6.29,1209.21,Loamy,Maharashtra,Perennial,Papaya
91.81,42.73,107.18,21.98,80.03,5.82,1262.86,Alluvial,Andhra Pradesh,Perennial,Mango
19.62,39.34,17.08,21.42,43.53,7.49,231.72,Sandy Loam,Rajasthan,Rabi,Chickpea
72.7,29.58,26.13,31.28,78.77,5.85,917.76,Loamy,Odisha,Kharif,Jute
85.19,49.92,69.69,27.43,63.88,5.53,537.09,Alluvial,Uttar Pradesh,Perennial,Mango
27.49,76.66,16.38,15.26,58.38,6.11,382.29,Loamy,Madhya Pradesh,Rabi,Lentil
76.9,33.8,111.69,37.72,63.52,5.42,1154.71,Loamy,Maharashtra,Perennial,Orange
18.0,57.72,26.88,27.33,80.13,5.64,518.56,Loamy,Maharashtra,Kharif,Blackgram
17.53,39.45,17.03,26.94,80.36,7.23,580.35,Loamy,Maharashtra,Kharif,Mungbean
95.31,53.17,131.46,27.04,86.03,6.5,2260.7,Loamy,Andhra Pradesh,Perennial,Coconut
103.65,52.61,214.2,25.43,94.32,5.9,2327.54,Coastal Sandy,Tamil Nadu,Perennial,Coconut
45.22,48.21,43.04,38.03,59.7,7.42,402.25,Sandy Loam,Rajasthan,Summer,Muskmelon
35.09,56.93,87.49,17.96,66.76,5.55,1242.55,Loamy,Uttarakhand,Perennial,Apple
52.89,34.54,90.18,16.28,70.27,5.99,1186.64,Loamy,Jammu Kashmir,Perennial,Apple
11.78,46.56,14.27,35.0,52.84,7.0,369.34,Sandy Loam,Rajasthan,Kharif,Mothbeans
124.27,37.75,80.45,32.51,54.86,6.31,431.55,Loamy,Maharashtra,Summer,Watermelon
15.48,54.88,17.76,31.36,59.75,7.15,454.22,Black Soil,Uttar Pradesh,Kharif,Blackgram
179.92,48.32,78.26,20.6,80.29,5.3,1774.23,Forest Soil,Karnataka,Perennial,Coffee
124.55,40.82,137.77,24.29,78.35,5.83,1271.47,Laterite,Kerala,Perennial,Coffee
58.58,38.2,31.54,19.81,79.98,6.37,1168.63,Clayey,West Bengal,Kharif,Rice
73.88,28.42,50.11,19.38,40.38,6.27,476.5,Sandy Loam,Punjab,Summer,Muskmelon
34.06,44.07,61.36,18.84,55.42,5.67,863.38,Loamy,Jammu Kashmir,Perennial,Apple
89.93,55.28,32.04,29.04,71.54,7.09,662.8,Loamy,Andhra Pradesh,Kharif,Rice
80.9,54.44,41.72,23.78,51.73,6.75,648.29,Loamy,Karnataka,Rabi,Maize
18.06,41.33,16.59,35.72,65.23,7.11,215.84,Loamy,Karnataka,Summer,Mungbean
24.78,33.44,16.23,31.78,70.41,7.43,488.06,Loamy,Karnataka,Kharif,Mungbean
117.51,25.6,41.23,19.0,78.05,5.9,639.49,Alluvial,Karnataka,Rabi,Maize
101.4,42.61,55.49,19.69,52.81,6.91,469.46,Black Soil,Tamil Nadu,Perennial,Grapes
188.9,59.49,226.07,31.5,75.48,6.31,1905.9,Clayey,Andhra Pradesh,Perennial,Banana
31.4,42.75,52.48,32.35,53.28,6.4,355.28,Sandy Loam,Punjab,Summer,Muskmelon
66.65,46.5,208.3,26.36,75.27,6.62,1684.89,Coastal Sandy,Kerala,Perennial,Coconut
84.97,30.02,45.67,31.13,73.06,6.58,360.62,Sandy Loam,Karnataka,Summer,Watermelon
234.77,56.13,207.39,32.37,73.49,5.84,1874.19,Loamy,Maharashtra,Perennial,Banana
62.28,26.65,51.16,25.45,53.69,7.11,503.38,Black Soil,Maharashtra,Perennial,Pomegranate
26.53,39.61,15.16,29.39,70.77,6.0,500.08,Black Soil,Maharashtra,Kharif,Pigeonpeas
18.9,47.47,25.0,26.33,65.3,5.89,664.63,Black Soil,Tamil Nadu,Kharif,Blackgram
124.21,39.61,49.58,26.99,80.2,6.0,1387.64,Loamy,Andhra Pradesh,Kharif,Rice
93.97,55.3,162.92,29.07,85.42,5.58,1902.03,Coastal Sandy,Tamil Nadu,Perennial,Coconut
45.02,46.01,96.67,15.99,72.77,6.03,900.83,Loamy,Uttarakhand,Perennial,Apple
22.5,43.36,20.24,32.68,66.82,5.88,184.37,Black Soil,Gujarat,Kharif,Pigeonpeas
29.16,55.13,25.05,17.84,72.66,5.76,777.8,Alluvial,Jammu Kashmir,Kharif,Kidneybeans
85.79,70.23,129.68,26.31,38.32,6.13,987.7,Loamy,Maharashtra,Perennial,Mango
18.54,40.87,20.67,28.79,49.29,5.85,165.96,Loamy,Maharashtra,Kharif,Mungbean
29.23,69.3,32.33,21.97,60.37,5.83,437.43,Alluvial,Jammu Kashmir,Kharif,Kidneybeans
60.2,32.99,41.75,21.72,30.13,7.0,795.76,Black Soil,Karnataka,Perennial,Pomegranate
102.65,65.53,152.88,32.74,58.21,6.84,576.49,Sandy Loam,Karnataka,Perennial,Grapes
26.58,80.93,27.77,31.28,58.52,7.55,562.67,Black Soil,Tamil Nadu,Kharif,Blackgram
21.21,43.05,23.57,31.37,84.69,7.18,464.87,Loamy,Andhra Pradesh,Summer,Mungbean
32.41,54.15,25.77,29.27,62.56,6.34,335.54,Black Soil,Madhya Pradesh,Kharif,Pigeonpeas
255.1,47.04,272.62,26.68,76.91,7.07,1810.45,Clayey,Gujarat,Perennial,Banana
127.92,66.95,106.62,25.13,85.34,5.71,1552.06,Loamy,Karnataka,Perennial,Coconut
83.01,59.59,273.02,21.79,87.09,6.43,1102.84,Coastal Sandy,Andhra Pradesh,Perennial,Coconut
52.78,58.93,81.38,26.49,68.93,6.29,1411.17,Loamy,Andhra Pradesh,Perennial,Mango
148.88,186.05,473.91,36.72,81.06,6.25,1330.92,Loamy,Gujarat,Perennial,Papaya
