date,location,crop_type,growth_stage,temperature_c,humidity_pct,leaf_wetness_hours,ndvi,lesion_count_per_leaf,severity_percent,disease_label,recommended_treatment,pesticide,application_rate,notes,image_path
2024-04-04,Field_21,Soybean,Ripening,16.9,93.8,0.9,0.897,2,24.7,Bacterial_spot,Fungicide spray,Mancozeb,250 g/ha,Auto-labeled with heuristic rules,images/disease_146.jpg
2024-03-28,Field_4,Rice,Seedling,34.3,61.4,6.0,0.506,2,19.5,Anthracnose,Fungicide spray,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_147.jpg
2024-02-13,Field_2,Soybean,Ripening,18.3,86.1,19.9,0.418,1,3.8,Anthracnose,Fungicide spray,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_148.jpg
2024-10-04,Field_13,Rice,Ripening,22.1,68.3,23.7,0.78,3,13.3,Healthy,None,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_149.jpg
2024-06-19,Field_24,Wheat,Ripening,14.9,54.4,19.4,0.802,2,7.8,Anthracnose,Fungicide spray,Azoxystrobin,150 g/ha,Auto-labeled with heuristic rules,images/disease_150.jpg
2024-07-07,Field_11,Tomato,Flowering,25.3,48.6,25.5,0.349,3,1.0,Anthracnose,Fungicide spray,None,200 g/ha,Auto-labeled with heuristic rules,images/disease_151.jpg
2024-12-18,Field_26,Soybean,Seedling,17.0,43.2,28.6,0.674,3,29.1,Septoria,Fungicide spray,Azoxystrobin,150 g/ha,Auto-labeled with heuristic rules,images/disease_152.jpg
2024-07-02,Field_28,Potato,Ripening,15.2,79.5,0.5,0.744,5,22.4,Healthy,None,Copper Oxychloride,150 g/ha,Auto-labeled with heuristic rules,images/disease_153.jpg
2024-01-03,Field_4,Wheat,Vegetative,22.9,55.1,22.3,0.639,6,25.3,Healthy,None,Mancozeb,200 g/ha,Auto-labeled with heuristic rules,images/disease_154.jpg
2024-07-09,Field_8,Tomato,Vegetative,10.1,63.2,46.2,0.186,3,31.0,Anthracnose,Fungicide spray,Azoxystrobin,0,Auto-labeled with heuristic rules,images/disease_155.jpg
2024-04-27,Field_7,Potato,Vegetative,10.2,62.0,24.9,0.838,5,21.2,Bacterial_spot,Fungicide spray,Copper Oxychloride,250 g/ha,Auto-labeled with heuristic rules,images/disease_156.jpg
2024-01-19,Field_7,Maize,Vegetative,15.5,67.5,32.5,0.535,2,9.3,Anthracnose,Fungicide spray,Mancozeb,0,Auto-labeled with heuristic rules,images/disease_157.jpg
2024-01-23,Field_18,Potato,Flowering,10.9,86.3,15.0,0.304,2,14.2,Late Blight,Copper fungicide + remove infected,Copper Oxychloride,3 kg/ha,High risk for Phytophthora,images/disease_158.jpg
2024-01-30,Field_15,Rice,Ripening,12.7,93.7,37.2,0.433,4,12.9,Blast,Fungicide spray,Tricyclazole,250 g/ha,Warm + wet conditions favored blast,images/disease_159.jpg
2024-10-21,Field_5,Rice,Seedling,18.5,56.5,37.1,0.084,3,21.8,Anthracnose,Fungicide spray,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_160.jpg
2024-04-17,Field_14,Maize,Ripening,30.1,83.8,25.0,0.165,2,13.0,Healthy,None,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_161.jpg
2024-10-07,Field_6,Wheat,Flowering,24.3,79.7,46.8,0.739,1,8.9,Septoria,Fungicide spray,Mancozeb,250 g/ha,Auto-labeled with heuristic rules,images/disease_162.jpg
2024-05-07,Field_9,Tomato,Vegetative,22.8,67.3,6.0,0.05,5,20.2,Bacterial_spot,Fungicide spray,Mancozeb,150 g/ha,Auto-labeled with heuristic rules,images/disease_163.jpg
2024-08-16,Field_15,Potato,Flowering,17.3,92.1,0.8,0.425,3,18.2,Bacterial_spot,Fungicide spray,Mancozeb,0,Auto-labeled with heuristic rules,images/disease_164.jpg
2024-04-20,Field_8,Rice,Ripening,33.3,43.0,37.0,0.52,4,22.7,Healthy,None,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_165.jpg
2024-05-15,Field_28,Wheat,Seedling,19.9,37.1,38.7,0.099,1,8.8,Septoria,Fungicide spray,Azoxystrobin,0,Auto-labeled with heuristic rules,images/disease_166.jpg
2024-12-27,Field_30,Maize,Flowering,12.2,85.5,5.8,0.926,3,16.1,Healthy,None,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_167.jpg
2024-07-04,Field_3,Soybean,Seedling,25.4,58.5,12.7,0.254,4,21.3,Anthracnose,Fungicide spray,None,250 g/ha,Auto-labeled with heuristic rules,images/disease_168.jpg
2024-05-23,Field_15,Rice,Flowering,12.8,85.1,0.8,0.324,2,14.5,Septoria,Fungicide spray,Azoxystrobin,250 g/ha,Auto-labeled with heuristic rules,images/disease_169.jpg
2024-03-12,Field_26,Maize,Seedling,18.6,88.1,14.1,0.324,2,16.2,Bacterial_spot,Fungicide spray,Mancozeb,250 g/ha,Auto-labeled with heuristic rules,images/disease_170.jpg
2024-05-08,Field_28,Potato,Seedling,22.7,34.1,37.1,0.257,2,10.6,Healthy,None,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_171.jpg
2024-12-29,Field_28,Tomato,Vegetative,31.9,87.4,24.9,0.051,4,30.0,Late Blight,Copper fungicide + remove infected,Copper Oxychloride,3 kg/ha,High risk for Phytophthora,images/disease_172.jpg
2024-09-17,Field_18,Rice,Seedling,22.3,59.1,16.7,0.706,5,25.8,Bacterial_spot,Fungicide spray,None,200 g/ha,Auto-labeled with heuristic rules,images/disease_173.jpg
2024-01-03,Field_4,Rice,Vegetative,27.6,63.2,17.8,0.92,2,12.0,Septoria,Fungicide spray,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_174.jpg
2024-04-13,Field_2,Potato,Ripening,34.8,70.7,0.1,0.252,2,18.8,Bacterial_spot,Fungicide spray,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_175.jpg
2024-08-11,Field_21,Soybean,Ripening,13.3,90.2,14.4,0.647,4,21.4,Healthy,None,Mancozeb,250 g/ha,Auto-labeled with heuristic rules,images/disease_176.jpg
2024-11-15,Field_18,Wheat,Vegetative,16.9,31.2,31.0,0.718,0,0.0,Healthy,None,None,0,No visible lesions,images/disease_177.jpg
2024-12-27,Field_27,Tomato,Vegetative,19.9,61.0,46.8,0.814,3,21.7,Healthy,None,Mancozeb,250 g/ha,Auto-labeled with heuristic rules,images/disease_178.jpg
2024-12-19,Field_1,Rice,Flowering,20.5,74.7,40.7,0.43,0,1.8,Healthy,None,None,0,No visible lesions,images/disease_179.jpg
2024-01-10,Field_3,Tomato,Flowering,20.3,77.0,1.1,0.323,2,23.5,Healthy,None,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_180.jpg
2024-10-28,Field_30,Rice,Flowering,32.7,75.0,43.1,0.343,2,14.1,Septoria,Fungicide spray,Copper Oxychloride,0,Auto-labeled with heuristic rules,images/disease_181.jpg
2024-08-18,Field_25,Tomato,Ripening,27.9,38.7,37.6,0.691,1,19.2,Septoria,Fungicide spray,Copper Oxychloride,250 g/ha,Auto-labeled with heuristic rules,images/disease_182.jpg
2024-08-06,Field_28,Maize,Flowering,25.2,49.5,37.5,0.785,4,17.0,Bacterial_spot,Fungicide spray,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_183.jpg
2024-03-06,Field_8,Rice,Seedling,17.7,53.3,22.0,0.213,5,25.6,Healthy,None,Mancozeb,200 g/ha,Auto-labeled with heuristic rules,images/disease_184.jpg
2024-04-21,Field_6,Tomato,Seedling,30.6,82.3,19.1,0.384,1,22.7,Late Blight,Copper fungicide + remove infected,Copper Oxychloride,3 kg/ha,High risk for Phytophthora,images/disease_185.jpg
2024-01-13,Field_14,Wheat,Flowering,33.9,48.1,14.5,0.862,4,19.8,Anthracnose,Fungicide spray,Mancozeb,0,Auto-labeled with heuristic rules,images/disease_186.jpg
2024-03-26,Field_16,Maize,Seedling,30.5,43.7,3.2,0.776,0,5.3,Healthy,None,None,0,No visible lesions,images/disease_187.jpg
2024-08-21,Field_16,Maize,Ripening,10.0,92.2,11.0,0.936,6,33.2,Healthy,None,Azoxystrobin,250 g/ha,Auto-labeled with heuristic rules,images/disease_188.jpg
2024-03-30,Field_7,Wheat,Seedling,25.9,30.6,11.8,0.729,5,30.1,Healthy,None,Mancozeb,0,Auto-labeled with heuristic rules,images/disease_189.jpg
2024-11-09,Field_28,Tomato,Ripening,11.3,94.9,23.2,0.404,1,8.6,Late Blight,Copper fungicide + remove infected,Copper Oxychloride,3 kg/ha,High risk for Phytophthora,images/disease_190.jpg
2024-02-23,Field_13,Potato,Vegetative,16.4,74.0,35.9,0.582,5,9.1,Healthy,None,Mancozeb,250 g/ha,Auto-labeled with heuristic rules,images/disease_191.jpg
2024-01-12,Field_29,Wheat,Vegetative,11.5,83.9,22.7,0.645,1,8.1,Septoria,Fungicide spray,Azoxystrobin,200 g/ha,Auto-labeled with heuristic rules,images/disease_192.jpg
2024-07-27,Field_2,Tomato,Vegetative,25.1,49.2,2.8,0.121,4,27.4,Bacterial_spot,Fungicide spray,Mancozeb,0,Auto-labeled with heuristic rules,images/disease_193.jpg
2024-01-14,Field_6,Wheat,Vegetative,27.2,30.9,46.0,0.54,2,9.8,Septoria,Fungicide spray,Azoxystrobin,250 g/ha,Auto-labeled with heuristic rules,images/disease_194.jpg
2024-04-30,Field_13,Wheat,Seedling,12.9,78.0,45.3,0.688,1,12.9,Healthy,None,None,200 g/ha,Auto-labeled with heuristic rules,images/disease_195.jpg
2024-01-20,Field_1,Rice,Flowering,19.6,84.2,37.7,0.201,3,13.7,Blast,Fungicide spray,Tricyclazole,250 g/ha,Warm + wet conditions favored blast,images/disease_196.jpg
2024-03-15,Field_13,Tomato,Seedling,21.4,78.1,47.6,0.753,3,3.5,Late Blight,Copper fungicide + remove infected,Copper Oxychloride,3 kg/ha,High risk for Phytophthora,images/disease_197.jpg
2024-08-30,Field_9,Potato,Ripening,19.2,39.3,26.1,0.575,6,22.6,Septoria,Fungicide spray,Mancozeb,0,Auto-labeled with heuristic rules,images/disease_198.jpg
2024-08-10,Field_30,Rice,Seedling,13.0,79.0,46.2,0.907,0,15.4,Healthy,None,None,0,No visible lesions,images/disease_199.jpg
2024-03-10,Field_26,Wheat,Seedling,20.5,80.0,3.6,0.088,3,0.0,Stripe Rust,Fungicide application,Azoxystrobin,200 ml/ha,Monitor weather for spread,images/disease_200.jpg
