date,location,crop_type,growth_stage,soil_moisture_pct,ndvi,canopy_cover_pct,weed_density_plants_per_m2,dominant_weed_species,recommended_action,herbicide,dosage_ml_per_ha,manual_removal_required,image_path
2024-08-12,Field_15,Rice,Vegetative,28.6,0.556,37.0,81.8,Amaranthus,Broadcast spray,Atrazine,400,No,images/weed_186.jpg
2024-11-02,Field_17,Rice,Flowering,20.7,0.71,69.7,83.2,Cyperus,Broadcast spray,"2,4-D",300,No,images/weed_187.jpg
2024-08-21,Field_9,Maize,Flowering,22.5,0.801,31.7,50.7,No_weed,Broadcast spray,Glyphosate,300,Yes,images/weed_188.jpg
2024-06-20,Field_18,Rice,Seedling,41.2,0.374,56.0,0.6,Amaranthus,Monitor,None,0,No,images/weed_189.jpg
2024-05-31,Field_28,Wheat,Vegetative,18.9,0.757,47.8,28.7,Digitaria,Broadcast spray,Atrazine,300,No,images/weed_190.jpg
2024-11-10,Field_1,Cotton,Maturity,25.6,0.189,64.7,61.7,No_weed,Broadcast spray,Glyphosate,300,Yes,images/weed_191.jpg
2024-06-08,Field_22,Soybean,Seedling,36.3,0.777,89.3,98.1,Digitaria,Broadcast spray,Glyphosate,300,No,images/weed_192.jpg
2024-04-05,Field_24,Rice,Vegetative,20.9,0.202,70.9,63.2,Chenopodium,Broadcast spray,Metribuzin,400,No,images/weed_193.jpg
2024-08-20,Field_4,Wheat,Vegetative,29.9,0.418,24.3,26.0,Echinochloa,Broadcast spray,Glyphosate,200,Yes,images/weed_194.jpg
2024-06-28,Field_22,Soybean,Vegetative,39.5,0.738,7.8,63.4,Digitaria,Broadcast spray,Glyphosate,200,No,images/weed_195.jpg
2024-04-22,Field_29,Cotton,Vegetative,43.0,0.22,28.6,54.0,Chenopodium,Broadcast spray,Glyphosate,200,No,images/weed_196.jpg
2024-11-13,Field_18,Soybean,Vegetative,10.9,0.283,58.6,78.0,Echinochloa,Broadcast spray,Glyphosate,400,No,images/weed_197.jpg
2024-02-21,Field_25,Wheat,Flowering,42.1,0.678,9.6,10.7,Echinochloa,Spot treatment,Dicamba,150,Maybe,images/weed_198.jpg
2024-09-24,Field_9,Tomato,Seedling,24.7,0.676,49.7,76.1,Digitaria,Broadcast spray,Glyphosate,400,No,images/weed_199.jpg
2024-10-21,Field_25,Tomato,Flowering,15.3,0.613,58.7,54.1,Cyperus,Broadcast spray,"2,4-D",300,No,images/weed_200.jpg
